feature,misclass_mean,correct_mean,mean_diff,importance
support_type_encoded,0.6196979,-1.0812305,1.7009284,2.6348855
max_foot_height,0.2114346,-0.7625892,0.9740238,2.0161014
step_height,0.41851568,-0.6337928,1.0523086,1.9664763
step_length,0.11718509,-0.9424978,1.0596828,1.8437401
left_contact_prob,-0.7609394,0.6401409,1.4010804,1.7686894
left_pos_rel_z,0.30248347,-0.659229,0.9617125,1.7606134
left_linear_velocity_y,-0.29338387,-0.057561543,0.23582232,0.8519997
left_linear_velocity_x,-0.5407201,-0.06634657,0.47437352,0.69981915
root_linear_velocity_x,-0.45478815,-0.16603056,0.2887576,0.6931847
right_pos_rel_z,-0.18522903,-0.576883,0.39165398,0.6918897
right_linear_velocity_x,-0.34646112,-0.072294846,0.2741663,0.6649191
right_linear_velocity_y,0.41641086,0.048865985,0.3675449,0.6574267
right_contact_prob,0.116050795,0.53043973,0.41438895,0.5437654
root_orientation_z,1.1295092,0.7047771,0.4247321,0.5392244
root_position_z,0.19518027,0.4351005,0.23992023,0.31957313
root_angular_velocity_z,-0.12943956,0.092769735,0.2222093,0.3113027
right_pos_rel_y,0.31879336,0.6016505,0.28285712,0.30603242
root_orientation_y,-0.133486,-0.31776765,0.18428165,0.29022968
root_orientation_x,-0.5930439,-0.45292398,0.14011994,0.26029602
root_linear_velocity_z,0.10039749,-0.021116063,0.12151355,0.21534298
left_linear_velocity_z,-0.24032931,-0.09319154,0.14713776,0.19724268
left_pos_rel_y,-0.33124822,-0.47283503,0.14158681,0.14772688
root_angular_velocity_y,-0.043729857,0.035876352,0.079606205,0.13671485
left_pos_rel_x,-0.14094803,-0.06736541,0.07358262,0.107186496
root_linear_velocity_y,-0.06981926,-0.023944926,0.04587433,0.09005564
root_position_y,0.25949702,0.30396566,0.04446864,0.03682097
right_pos_rel_x,0.050374556,0.06966625,0.019291695,0.029059602
right_linear_velocity_z,-0.083082065,-0.09687416,0.013792098,0.024753688
step_width,0.10027756,0.11143313,0.0111555755,0.020870034
root_angular_velocity_x,-0.00026883633,0.0008432269,0.0011120632,0.0022610368
root_position_x,-0.5609799,-0.5627406,0.0017607212,0.0013239019
