index,true_class,pred_class,confidence,true_class_prob,confusion_margin
443,jog,walk,0.9994531,0.0004704973,0.9989826
324,stand,walk,0.9989693,0.0008293637,0.99814
325,stand,walk,0.9955023,0.0042075585,0.99129474
442,jog,walk,0.9882101,0.011242395,0.9769677
326,stand,walk,0.9812749,0.017904673,0.9633702
205,stand,walk,0.9100433,0.064314775,0.8457285
197,stand,walk,0.8930919,0.10402046,0.78907144
444,jog,walk,0.8923878,0.10653365,0.78585416
327,stand,walk,0.85441875,0.14128608,0.7131327
373,stand,walk,0.6934016,0.25803465,0.43536693
204,stand,walk,0.6825196,0.2985166,0.384003
374,stand,walk,0.62581897,0.35962158,0.26619738
605,walk,stand,0.56479734,0.43060115,0.13419619
