Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.000081,-0.022603,-0.009945,0.999695,-116.202057,1019.863586,34.371403,-0.008140,-0.034781,-0.088597,0.995427,206.276138,1045.890869,32.054710,-0.007391,0.020480,0.028258,-0.999364,34.114025,1040.507202,956.931213
1,0.004167,0.000064,-0.022500,-0.009955,0.999697,-116.200813,1019.860718,34.363861,-0.008112,-0.034720,-0.088602,0.995429,206.276306,1045.892944,32.051483,-0.007371,0.020497,0.028262,-0.999363,34.101593,1040.545898,956.920654
2,0.008333,0.000022,-0.022466,-0.009971,0.999698,-116.199631,1019.855591,34.362362,-0.008125,-0.034720,-0.088610,0.995428,206.278076,1045.889404,32.051754,-0.007362,0.020457,0.028226,-0.999365,34.090160,1040.585449,956.926697
3,0.012500,0.000009,-0.022476,-0.009992,0.999697,-116.203369,1019.858826,34.362411,-0.008116,-0.034702,-0.088628,0.995427,206.277359,1045.895264,32.055683,-0.007305,0.020497,0.028203,-0.999365,34.070164,1040.622070,956.910645
4,0.016667,0.000021,-0.022486,-0.009998,0.999697,-116.197495,1019.861206,34.360626,-0.008117,-0.034715,-0.088587,0.995430,206.277496,1045.893066,32.058064,-0.007266,0.020505,0.028183,-0.999366,34.055916,1040.666992,956.895264
5,0.020833,0.000001,-0.022484,-0.009965,0.999698,-116.202492,1019.863464,34.360985,-0.008095,-0.034728,-0.088585,0.995430,206.279022,1045.894409,32.057858,-0.007224,0.020496,0.028202,-0.999366,34.049507,1040.690552,956.889282
6,0.025000,-0.000012,-0.022551,-0.009989,0.999696,-116.203346,1019.860840,34.356709,-0.008119,-0.034756,-0.088596,0.995428,206.282715,1045.895630,32.051094,-0.007296,0.020441,0.028257,-0.999365,34.052227,1040.748657,956.899536
7,0.029167,-0.000020,-0.022437,-0.010006,0.999698,-116.202843,1019.861572,34.358597,-0.008132,-0.034759,-0.088596,0.995428,206.283142,1045.897339,32.049805,-0.007320,0.020424,0.028284,-0.999364,34.052261,1040.790039,956.893372
8,0.033333,-0.000019,-0.022407,-0.009987,0.999699,-116.198822,1019.867432,34.357399,-0.008133,-0.034727,-0.088602,0.995428,206.278656,1045.899170,32.054291,-0.007298,0.020476,0.028292,-0.999363,34.046516,1040.818115,956.891541
9,0.037500,0.000004,-0.022447,-0.009976,0.999698,-116.193344,1019.873596,34.360069,-0.008127,-0.034715,-0.088605,0.995429,206.280212,1045.899170,32.053467,-0.007273,0.020502,0.028309,-0.999363,34.027645,1040.852417,956.885803
10,0.041667,0.000018,-0.022470,-0.009951,0.999698,-116.188286,1019.876465,34.353851,-0.008105,-0.034735,-0.088604,0.995428,206.278870,1045.899536,32.053467,-0.007248,0.020459,0.028301,-0.999364,34.022442,1040.888184,956.880981
11,0.045833,-0.000023,-0.022449,-0.009955,0.999698,-116.191170,1019.873718,34.357212,-0.008097,-0.034702,-0.088626,0.995427,206.277954,1045.895874,32.050739,-0.007273,0.020463,0.028336,-0.999363,34.004482,1040.921631,956.881836
12,0.050000,-0.000030,-0.022437,-0.009948,0.999699,-116.197662,1019.873291,34.359856,-0.008094,-0.034708,-0.088625,0.995427,206.277527,1045.896118,32.048897,-0.007360,0.020487,0.028226,-0.999365,33.970146,1040.992310,956.890381
13,0.054167,-0.000044,-0.022398,-0.009989,0.999699,-116.201134,1019.865723,34.355068,-0.008108,-0.034753,-0.088616,0.995426,206.279602,1045.898071,32.048626,-0.007422,0.020461,0.028214,-0.999365,33.939297,1041.027100,956.891907
14,0.058333,-0.000052,-0.022349,-0.010016,0.999700,-116.204369,1019.865295,34.352451,-0.008104,-0.034770,-0.088614,0.995426,206.282288,1045.897095,32.047958,-0.007417,0.020432,0.028224,-0.999365,33.919521,1041.052979,956.896545
15,0.062500,-0.000105,-0.022319,-0.010041,0.999701,-116.210770,1019.858337,34.351120,-0.008119,-0.034728,-0.088610,0.995428,206.277908,1045.896118,32.050365,-0.007380,0.020443,0.028252,-0.999365,33.904915,1041.072754,956.894165
16,0.066667,-0.000128,-0.022338,-0.010045,0.999700,-116.212364,1019.860718,34.350376,-0.008122,-0.034727,-0.088643,0.995425,206.276428,1045.894287,32.047642,-0.007374,0.020470,0.028267,-0.999364,33.886375,1041.104614,956.888184
17,0.070833,-0.000081,-0.022397,-0.010018,0.999699,-116.208878,1019.861328,34.353073,-0.008116,-0.034729,-0.088627,0.995426,206.275848,1045.894531,32.042130,-0.007345,0.020458,0.028293,-0.999363,33.869961,1041.129517,956.893494
18,0.075000,-0.000032,-0.022410,-0.009973,0.999699,-116.204430,1019.866455,34.355045,-0.008096,-0.034699,-0.088658,0.995425,206.274094,1045.887207,32.046082,-0.007318,0.020458,0.028332,-0.999362,33.851124,1041.149292,956.888062
19,0.079167,0.000013,-0.022447,-0.009921,0.999699,-116.198349,1019.870178,34.351757,-0.008122,-0.034692,-0.088658,0.995425,206.272690,1045.884033,32.044048,-0.007291,0.020484,0.028344,-0.999362,33.838036,1041.169800,956.888916
20,0.083333,0.000046,-0.022517,-0.009913,0.999697,-116.193642,1019.872681,34.347076,-0.008130,-0.034680,-0.088679,0.995423,206.275482,1045.884033,32.043324,-0.007301,0.020467,0.028375,-0.999361,33.827206,1041.205078,956.890198
21,0.087500,0.000073,-0.022506,-0.009886,0.999698,-116.185760,1019.874084,34.347897,-0.008167,-0.034709,-0.088681,0.995422,206.272415,1045.882202,32.042816,-0.007279,0.020483,0.028409,-0.999360,33.805416,1041.226440,956.894165
22,0.091667,0.000069,-0.022551,-0.009878,0.999697,-116.186440,1019.878418,34.348763,-0.008171,-0.034712,-0.088665,0.995423,206.275040,1045.881958,32.039505,-0.007264,0.020493,0.028421,-0.999360,33.789085,1041.256592,956.890747
23,0.095833,-0.000007,-0.022463,-0.009891,0.999699,-116.190224,1019.875549,34.344112,-0.008156,-0.034704,-0.088661,0.995424,206.271713,1045.889038,32.044174,-0.007259,0.020471,0.028451,-0.999359,33.769176,1041.286865,956.892944
24,0.100000,-0.000025,-0.022441,-0.009908,0.999699,-116.188606,1019.871826,34.346546,-0.008153,-0.034684,-0.088649,0.995426,206.269653,1045.885986,32.042446,-0.007236,0.020474,0.028464,-0.999359,33.757961,1041.308960,956.892334
25,0.104167,-0.000030,-0.022453,-0.009916,0.999699,-116.192581,1019.873291,34.352264,-0.008152,-0.034672,-0.088692,0.995422,206.266388,1045.885864,32.049648,-0.007157,0.020399,0.028449,-0.999361,33.743992,1041.330811,956.878906
26,0.108333,-0.000034,-0.022437,-0.009942,0.999699,-116.194099,1019.878723,34.351654,-0.008148,-0.034659,-0.088696,0.995422,206.273239,1045.888550,32.045471,-0.007177,0.020434,0.028453,-0.999361,33.719143,1041.354248,956.877502
27,0.112500,-0.000047,-0.022419,-0.009922,0.999699,-116.191399,1019.874817,34.348618,-0.008130,-0.034683,-0.088679,0.995423,206.269867,1045.890869,32.041206,-0.007160,0.020451,0.028486,-0.999359,33.704021,1041.377563,956.885193
28,0.116667,-0.000036,-0.022409,-0.009896,0.999700,-116.190506,1019.876709,34.347347,-0.008136,-0.034721,-0.088682,0.995421,206.271591,1045.894409,32.044659,-0.007149,0.020459,0.028502,-0.999359,33.688469,1041.386230,956.879395
