Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.004219,0.064583,0.180388,-0.981464,-1635.338379,-1034.093994,45.130020,0.025268,0.002772,-0.388424,0.921130,-1250.256348,-971.626953,61.004482,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
1,0.004167,-0.004427,0.064063,0.180550,-0.981467,-1635.309814,-1034.041382,45.144463,0.021425,-0.000866,-0.390808,0.920223,-1246.818237,-969.680054,60.833160,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
2,0.008333,-0.004463,0.063710,0.180427,-0.981513,-1635.334351,-1034.071777,45.097588,0.023531,0.000054,-0.391390,0.919924,-1243.696411,-967.911926,60.688099,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
3,0.012500,-0.004244,0.063753,0.180555,-0.981487,-1635.312012,-1034.066040,45.089233,0.025581,-0.002238,-0.392218,0.919514,-1240.460083,-965.970032,60.638599,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
4,0.016667,-0.003086,0.055981,0.179390,-0.982179,-1635.276123,-1034.083862,45.635712,0.026782,-0.003091,-0.392529,0.919345,-1237.261108,-964.177673,60.577759,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
5,0.020833,-0.003596,0.057378,0.179736,-0.982033,-1635.255493,-1034.057495,45.494400,0.028837,-0.003356,-0.392563,0.919267,-1234.159058,-962.343445,60.524490,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
6,0.025000,-0.003474,0.055817,0.179521,-0.982163,-1635.227783,-1034.017090,45.616070,0.029994,-0.004030,-0.392362,0.919313,-1231.019653,-960.677124,60.592964,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
7,0.029167,-0.003196,0.053864,0.179608,-0.982257,-1635.012939,-1033.978027,45.818310,0.031420,-0.003174,-0.392633,0.919153,-1228.070801,-958.976501,60.613647,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
8,0.033333,-0.002927,0.050309,0.180764,-0.982235,-1634.620728,-1033.672974,45.970318,0.033856,-0.002574,-0.392770,0.919010,-1225.166626,-957.259888,60.408409,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
9,0.037500,-0.002027,0.046229,0.180649,-0.982458,-1634.422363,-1033.399536,46.124290,0.034198,-0.006509,-0.391844,0.919373,-1222.025757,-955.606445,60.616901,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
10,0.041667,-0.001267,0.042347,0.180986,-0.982573,-1634.207275,-1033.051514,46.286469,0.035738,-0.006669,-0.391529,0.919447,-1219.132568,-953.998535,60.702599,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
11,0.045833,0.000140,0.038372,0.181054,-0.982724,-1633.937988,-1032.749390,46.428852,0.037375,-0.007562,-0.390874,0.919654,-1216.336914,-952.398926,60.731834,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
12,0.050000,0.000880,0.035574,0.181254,-0.982792,-1633.722168,-1032.338013,46.550434,0.039622,-0.008244,-0.390449,0.919735,-1213.572998,-950.885620,60.598076,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
13,0.054167,0.001137,0.033684,0.181695,-0.982777,-1633.629272,-1032.062378,46.619392,0.039360,-0.007097,-0.387981,0.920799,-1210.766724,-949.438843,60.994934,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
14,0.058333,0.001295,0.032116,0.182177,-0.982740,-1633.507568,-1031.855347,46.661594,0.039092,-0.008749,-0.387496,0.921000,-1208.033936,-948.186951,60.850983,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
15,0.062500,0.001296,0.031115,0.182446,-0.982723,-1633.448120,-1031.696289,46.701118,0.039124,-0.010110,-0.386841,0.921261,-1205.492065,-946.885437,60.839455,0.920906,0.286973,-0.196377,0.176113,-1436.726929,-1033.403809,116.907394
