Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.034441,0.028852,0.813901,-0.579264,-716.448853,1732.368408,31.420504,-0.023944,-0.011364,-0.892157,0.450947,-823.308044,1454.253784,37.710873,-0.041373,-0.001169,-0.799425,0.599339,-760.415955,1621.118164,950.960938
1,0.004167,0.034467,0.028822,0.813919,-0.579238,-716.450073,1732.359619,31.423300,-0.023938,-0.011373,-0.892143,0.450975,-823.306458,1454.256470,37.706665,-0.041441,-0.001076,-0.799485,0.599254,-760.454041,1621.123901,950.977112
2,0.008333,0.034466,0.028785,0.813900,-0.579267,-716.449829,1732.349487,31.422794,-0.024038,-0.011421,-0.892126,0.451001,-823.305054,1454.257446,37.706024,-0.041624,-0.000953,-0.799523,0.599191,-760.486755,1621.106445,950.980347
3,0.012500,0.034424,0.028688,0.813916,-0.579252,-716.452087,1732.350830,31.424709,-0.023937,-0.011383,-0.892102,0.451056,-823.310791,1454.248291,37.685791,-0.041678,-0.000679,-0.799571,0.599123,-760.540344,1621.083618,951.001709
4,0.016667,0.034391,0.028628,0.813915,-0.579258,-716.454224,1732.349365,31.423040,-0.023937,-0.011383,-0.892099,0.451062,-823.296570,1454.250122,37.683308,-0.042521,-0.001400,-0.799465,0.599205,-760.542480,1621.081543,951.077698
5,0.020833,0.034345,0.028508,0.813892,-0.579300,-716.452087,1732.332520,31.420544,-0.023972,-0.011419,-0.892085,0.451086,-823.290833,1454.248779,37.680538,-0.042770,-0.001112,-0.799369,0.599315,-760.515259,1620.939819,951.114868
6,0.025000,0.034274,0.028404,0.813912,-0.579280,-716.452820,1732.323608,31.422417,-0.024030,-0.011461,-0.892059,0.451135,-823.283264,1454.255249,37.676609,-0.043056,-0.000853,-0.799254,0.599448,-760.520386,1620.791748,951.152832
7,0.029167,0.034217,0.028335,0.813924,-0.579270,-716.455994,1732.320801,31.418827,-0.024132,-0.011461,-0.892018,0.451209,-823.280884,1454.254150,37.667191,-0.043398,-0.000698,-0.799158,0.599552,-760.517639,1620.675537,951.194275
8,0.033333,0.034252,0.028299,0.813958,-0.579223,-716.455627,1732.309082,31.422552,-0.024146,-0.011515,-0.891984,0.451274,-823.267639,1454.259766,37.658115,-0.043590,-0.000523,-0.799105,0.599609,-760.502869,1620.589233,951.230164
9,0.037500,0.034268,0.028270,0.813945,-0.579240,-716.452087,1732.295898,31.427320,-0.024215,-0.011519,-0.891946,0.451345,-823.269104,1454.252930,37.652489,-0.042692,-0.001451,-0.800447,0.597879,-760.327759,1621.271240,951.037964
10,0.041667,0.034202,0.028201,0.813936,-0.579260,-716.452271,1732.290039,31.430002,-0.024194,-0.011533,-0.891919,0.451400,-823.266113,1454.251709,37.643623,-0.042736,-0.001488,-0.800554,0.597733,-760.272949,1621.290527,950.972229
11,0.045833,0.034192,0.028125,0.813947,-0.579250,-716.450012,1732.282471,31.430464,-0.024264,-0.011557,-0.891857,0.451518,-823.255493,1454.253418,37.633533,-0.042546,-0.001625,-0.800757,0.597474,-760.240845,1621.315063,950.914795
12,0.050000,0.034170,0.028058,0.813961,-0.579235,-716.449158,1732.273560,31.437304,-0.024305,-0.011590,-0.891785,0.451657,-823.247864,1454.255981,37.630405,-0.042383,-0.001816,-0.800928,0.597256,-760.199646,1621.383667,950.842285
13,0.054167,0.034123,0.027942,0.813945,-0.579266,-716.445190,1732.256592,31.441536,-0.024328,-0.011569,-0.891735,0.451755,-823.236267,1454.252563,37.619110,-0.042178,-0.001959,-0.801128,0.597002,-760.153442,1621.447021,950.732727
