Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.021928,-0.005574,0.868567,0.495055,1227.363281,667.766724,11.305031,-0.006230,-0.011150,-0.607005,-0.794595,1299.878784,994.922302,10.243338,-0.010209,0.034767,-0.762195,-0.646333,1331.145020,888.926331,923.955566
1,0.004167,0.023752,-0.005685,0.868478,0.495126,1227.587524,667.545898,11.206539,-0.006280,-0.010766,-0.607107,-0.794523,1299.890015,994.937012,10.258896,-0.010296,0.034493,-0.762324,-0.646194,1331.007812,889.184509,923.990234
2,0.008333,0.025997,-0.005792,0.868366,0.495208,1227.789673,667.349365,11.081785,-0.006549,-0.010478,-0.607249,-0.794416,1299.860229,994.958252,10.287174,-0.010422,0.034565,-0.762349,-0.646158,1330.831421,889.463379,923.945984
3,0.012500,0.027731,-0.006153,0.868124,0.495533,1228.014160,667.173706,10.993214,-0.006605,-0.010456,-0.607203,-0.794451,1299.862793,994.955078,10.281210,-0.010415,0.034552,-0.762527,-0.645949,1330.670532,889.723694,923.951660
4,0.016667,0.029435,-0.006762,0.867831,0.495941,1228.185547,666.989075,10.917714,-0.006625,-0.010409,-0.607206,-0.794449,1299.860596,994.952393,10.279185,-0.010645,0.034297,-0.762555,-0.645927,1330.489014,889.954041,923.972839
5,0.020833,0.031020,-0.007309,0.867518,0.496384,1228.372192,666.807800,10.826993,-0.006656,-0.010390,-0.607215,-0.794442,1299.859863,994.953674,10.281685,-0.010764,0.034011,-0.762653,-0.645823,1330.346680,890.173889,924.005249
6,0.025000,0.032718,-0.007670,0.867228,0.496776,1228.536255,666.629822,10.740066,-0.006667,-0.010416,-0.607168,-0.794477,1299.864380,994.946228,10.274617,-0.010819,0.034089,-0.762680,-0.645786,1330.140991,890.413391,923.996094
7,0.029167,0.034720,-0.008101,0.867002,0.497027,1228.685791,666.462708,10.649423,-0.006688,-0.010323,-0.607212,-0.794445,1299.863525,994.949402,10.272721,-0.010865,0.033944,-0.762780,-0.645676,1329.972046,890.615967,924.026489
8,0.033333,0.036151,-0.008374,0.866831,0.497218,1228.833496,666.275818,10.583142,-0.006700,-0.010316,-0.607218,-0.794440,1299.864258,994.941711,10.269212,-0.011065,0.033889,-0.762732,-0.645731,1329.786499,890.797974,924.011414
9,0.037500,0.037400,-0.008717,0.866609,0.497509,1228.974976,666.097595,10.538308,-0.006727,-0.010329,-0.607201,-0.794453,1299.862061,994.937988,10.264660,-0.011212,0.033654,-0.762818,-0.645639,1329.621704,890.959778,924.069885
10,0.041667,0.038276,-0.009013,0.866360,0.497869,1229.078613,665.928345,10.506103,-0.006732,-0.010342,-0.607190,-0.794461,1299.858765,994.934875,10.268441,-0.011334,0.033730,-0.762798,-0.645657,1329.419067,891.110229,924.092163
11,0.045833,0.039146,-0.009482,0.866178,0.498110,1229.157837,665.771179,10.490490,-0.006799,-0.010269,-0.607202,-0.794452,1299.854614,994.941833,10.264966,-0.011424,0.033532,-0.762864,-0.645587,1329.261597,891.225586,924.170044
12,0.050000,0.039963,-0.009825,0.866043,0.498274,1229.225464,665.665894,10.473015,-0.006811,-0.010231,-0.607216,-0.794441,1299.853271,994.941589,10.260716,-0.011558,0.033500,-0.762830,-0.645627,1329.068726,891.323914,924.209656
13,0.054167,0.040721,-0.010056,0.865902,0.498453,1229.277100,665.577332,10.456048,-0.006791,-0.010228,-0.607193,-0.794460,1299.852905,994.937622,10.259673,-0.011281,0.033074,-0.762770,-0.645725,1328.948975,891.470947,924.205811
14,0.058333,0.041152,-0.010311,0.865811,0.498570,1229.296631,665.503418,10.453075,-0.006810,-0.010172,-0.607201,-0.794454,1299.850830,994.935852,10.257592,-0.011345,0.032985,-0.762661,-0.645857,1328.772339,891.580627,924.191040
15,0.062500,0.041543,-0.010534,0.865746,0.498645,1229.315918,665.448181,10.460915,-0.006834,-0.010141,-0.607204,-0.794452,1299.845581,994.937622,10.253388,-0.011228,0.032439,-0.762698,-0.645843,1328.655396,891.661316,924.248352
16,0.066667,0.041699,-0.010614,0.865739,0.498642,1229.330200,665.409302,10.463818,-0.006856,-0.010141,-0.607169,-0.794478,1299.845581,994.933472,10.253633,-0.010791,0.030659,-0.762685,-0.645953,1328.356201,891.844116,924.744446
17,0.070833,0.041825,-0.010700,0.865764,0.498588,1229.331421,665.390625,10.474172,-0.006867,-0.010078,-0.607176,-0.794474,1299.846680,994.932251,10.248862,-0.009705,0.030526,-0.763771,-0.644692,1327.533569,892.386597,925.269043
18,0.075000,0.041816,-0.010747,0.865807,0.498513,1229.312378,665.377319,10.485962,-0.006900,-0.010040,-0.607192,-0.794461,1299.843506,994.934753,10.250206,-0.009937,0.029897,-0.763775,-0.644714,1327.426636,892.480042,925.325989
19,0.079167,0.041420,-0.010629,0.865891,0.498402,1229.273315,665.374573,10.509338,-0.006938,-0.009962,-0.607176,-0.794475,1299.844604,994.930420,10.249136,-0.009851,0.029634,-0.763644,-0.644882,1327.443359,892.548523,925.202209
20,0.083333,0.041068,-0.010472,0.865981,0.498278,1229.238403,665.394287,10.524452,-0.006981,-0.009893,-0.607161,-0.794487,1299.847290,994.937805,10.245851,-0.009501,0.030207,-0.763540,-0.644983,1327.386597,892.631775,924.951050
21,0.087500,0.040502,-0.010402,0.866082,0.498150,1229.184448,665.421875,10.551216,-0.006982,-0.009836,-0.607167,-0.794483,1299.845093,994.937317,10.244079,-0.009573,0.029999,-0.763804,-0.644680,1327.288452,892.635864,925.005859
22,0.091667,0.039976,-0.010193,0.866166,0.498051,1229.128174,665.472229,10.565003,-0.006974,-0.009812,-0.607143,-0.794501,1299.849121,994.931946,10.240504,-0.009480,0.029730,-0.763967,-0.644501,1327.158569,892.657898,925.063477
23,0.095833,0.039327,-0.010002,0.866326,0.497827,1229.052979,665.518860,10.584691,-0.006926,-0.009835,-0.607047,-0.794575,1299.853638,994.919800,10.242853,-0.009060,0.030757,-0.763565,-0.644934,1326.901978,892.866211,924.788147
