Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.001046,0.014653,-0.117066,-0.993016,923.291321,1526.413086,13.137667,-0.000276,0.012012,-0.054118,-0.998462,1135.691406,1629.941772,12.601886,0.025890,0.012391,-0.200809,-0.979210,1047.607544,1579.392700,934.219055
1,0.004167,0.001146,0.014584,-0.117042,-0.993019,923.296936,1526.413696,13.136371,-0.000277,0.012001,-0.054117,-0.998462,1135.691772,1629.939941,12.602170,0.026046,0.012359,-0.200834,-0.979201,1047.654297,1579.429932,934.243713
2,0.008333,0.001089,0.014548,-0.117080,-0.993015,923.288025,1526.417480,13.140739,-0.000282,0.011955,-0.054142,-0.998462,1135.696899,1629.938721,12.604147,0.026027,0.012407,-0.200865,-0.979194,1047.689209,1579.478638,934.229553
3,0.012500,0.001127,0.014621,-0.117049,-0.993018,923.302002,1526.416626,13.134159,-0.000288,0.011944,-0.054134,-0.998462,1135.693115,1629.939453,12.602529,0.026016,0.012445,-0.200916,-0.979184,1047.726929,1579.515869,934.226013
4,0.016667,0.001154,0.014546,-0.117065,-0.993017,923.297668,1526.412476,13.129291,-0.000293,0.011999,-0.054133,-0.998462,1135.695312,1629.938843,12.605421,0.026058,0.012524,-0.200909,-0.979183,1047.762085,1579.552124,934.226074
5,0.020833,0.001144,0.014599,-0.117063,-0.993017,923.299194,1526.413574,13.129332,-0.000253,0.011981,-0.054127,-0.998462,1135.696655,1629.938232,12.607684,0.026134,0.012518,-0.200921,-0.979179,1047.798828,1579.587524,934.234070
6,0.025000,0.001097,0.014525,-0.117085,-0.993015,923.293274,1526.416504,13.136537,-0.000255,0.011930,-0.054105,-0.998464,1135.693115,1629.937256,12.598660,0.025976,0.012712,-0.200933,-0.979178,1047.826904,1579.629639,934.196777
7,0.029167,0.001134,0.014471,-0.117117,-0.993012,923.295349,1526.420654,13.138970,-0.000267,0.011978,-0.054146,-0.998461,1135.692261,1629.939697,12.603324,0.026049,0.012662,-0.200951,-0.979173,1047.864746,1579.669556,934.202820
8,0.033333,0.001164,0.014619,-0.117029,-0.993020,923.301025,1526.410278,13.131905,-0.000289,0.011926,-0.054121,-0.998463,1135.693115,1629.937378,12.605466,0.026004,0.012769,-0.200956,-0.979172,1047.895020,1579.713379,934.182190
9,0.037500,0.001179,0.014543,-0.117048,-0.993019,923.301392,1526.419312,13.131874,-0.000262,0.011936,-0.054124,-0.998463,1135.693359,1629.940308,12.602232,0.026021,0.012809,-0.200957,-0.979171,1047.928955,1579.753052,934.172913
10,0.041667,0.001207,0.014491,-0.117062,-0.993018,923.301025,1526.418701,13.128720,-0.000266,0.011926,-0.054124,-0.998463,1135.700195,1629.941040,12.603758,0.025900,0.012917,-0.200956,-0.979173,1047.959351,1579.797974,934.137329
11,0.045833,0.001206,0.014510,-0.117069,-0.993017,923.299683,1526.419678,13.129463,-0.000263,0.011980,-0.054110,-0.998463,1135.694214,1629.939331,12.605247,0.026022,0.012850,-0.200952,-0.979171,1048.004517,1579.822998,934.160156
12,0.050000,0.001246,0.014441,-0.117071,-0.993018,923.299866,1526.421631,13.122268,-0.000242,0.011923,-0.054111,-0.998464,1135.691162,1629.937256,12.604336,0.025903,0.012949,-0.200966,-0.979170,1048.031616,1579.875854,934.127930
13,0.054167,0.001154,0.014451,-0.117100,-0.993014,923.292603,1526.424438,13.135876,-0.000259,0.011878,-0.054116,-0.998464,1135.696533,1629.940308,12.606336,0.025880,0.012965,-0.200962,-0.979171,1048.068115,1579.911255,934.126526
14,0.058333,0.001163,0.014426,-0.117135,-0.993011,923.295532,1526.429688,13.141798,-0.000272,0.011883,-0.054097,-0.998465,1135.693237,1629.941284,12.604182,0.025596,0.013180,-0.200944,-0.979180,1048.085205,1579.977295,934.058289
15,0.062500,0.001236,0.014433,-0.117098,-0.993015,923.304138,1526.432495,13.130639,-0.000265,0.011927,-0.054092,-0.998465,1135.695190,1629.944580,12.603331,0.025767,0.013105,-0.200938,-0.979177,1048.132812,1580.006958,934.098999
16,0.066667,0.001176,0.014430,-0.117159,-0.993008,923.297729,1526.427856,13.141161,-0.000264,0.011906,-0.054118,-0.998464,1135.693970,1629.942017,12.601499,0.025793,0.013138,-0.200915,-0.979181,1048.174194,1580.040405,934.104248
17,0.070833,0.001243,0.014451,-0.117090,-0.993015,923.309265,1526.429443,13.126670,-0.000241,0.011934,-0.054092,-0.998465,1135.692261,1629.942383,12.604341,0.025755,0.013116,-0.200908,-0.979184,1048.213257,1580.080444,934.096436
18,0.075000,0.001236,0.014450,-0.117107,-0.993013,923.309326,1526.428955,13.128750,-0.000246,0.011892,-0.054099,-0.998465,1135.694702,1629.947144,12.603344,0.025514,0.013253,-0.200924,-0.979185,1048.232178,1580.155029,934.041077
19,0.079167,0.001254,0.014470,-0.117116,-0.993012,923.305664,1526.431885,13.131188,-0.000246,0.011886,-0.054095,-0.998465,1135.693237,1629.941895,12.598794,0.025712,0.013127,-0.200878,-0.979191,1048.285034,1580.179077,934.086914
20,0.083333,0.001236,0.014331,-0.117151,-0.993010,923.303772,1526.429932,13.136278,-0.000246,0.011872,-0.054100,-0.998465,1135.692993,1629.945801,12.600827,0.025750,0.013100,-0.200862,-0.979194,1048.335815,1580.236572,934.075134
21,0.087500,0.001210,0.014317,-0.117186,-0.993006,923.307495,1526.435791,13.141492,-0.000259,0.011841,-0.054093,-0.998466,1135.694214,1629.943970,12.600235,0.025741,0.013013,-0.200845,-0.979198,1048.373047,1580.286133,934.072021
22,0.091667,0.001283,0.014399,-0.117145,-0.993010,923.314880,1526.437012,13.130026,-0.000264,0.011841,-0.054083,-0.998466,1135.694702,1629.947388,12.601469,0.025942,0.012796,-0.200823,-0.979200,1048.432129,1580.301147,934.131165
23,0.095833,0.001200,0.014328,-0.117178,-0.993007,923.306885,1526.441406,13.137456,-0.000249,0.011873,-0.054067,-0.998467,1135.691895,1629.948120,12.601113,0.025924,0.012772,-0.200660,-0.979235,1048.526733,1580.323242,934.092590
24,0.100000,0.001297,0.014371,-0.117107,-0.993014,923.319092,1526.439941,13.125543,-0.000242,0.011861,-0.054074,-0.998466,1135.690186,1629.950073,12.595894,0.025935,0.012643,-0.200632,-0.979242,1048.569458,1580.361572,934.101501
25,0.104167,0.001303,0.014373,-0.117125,-0.993012,923.315857,1526.437988,13.129791,-0.000243,0.011867,-0.054075,-0.998466,1135.692993,1629.946289,12.595555,0.025994,0.012561,-0.200586,-0.979251,1048.615234,1580.400757,934.114441
26,0.108333,0.001304,0.014370,-0.117129,-0.993012,923.319092,1526.434937,13.128067,-0.000245,0.011888,-0.054075,-0.998466,1135.694946,1629.948364,12.598436,0.025925,0.012476,-0.200556,-0.979260,1048.650146,1580.444336,934.108826
27,0.112500,0.001223,0.014335,-0.117194,-0.993005,923.305298,1526.438232,13.134828,-0.000258,0.011860,-0.054075,-0.998466,1135.695190,1629.945312,12.599155,0.025906,0.012446,-0.200576,-0.979257,1048.697632,1580.483154,934.113647
28,0.116667,0.001344,0.014322,-0.117124,-0.993013,923.313293,1526.438232,13.130900,-0.000242,0.011904,-0.054075,-0.998466,1135.699219,1629.947754,12.597630,0.026037,0.012314,-0.200533,-0.979263,1048.735962,1580.519409,934.150085
29,0.120833,0.001221,0.014341,-0.117176,-0.993007,923.308044,1526.440186,13.141511,-0.000240,0.011846,-0.054075,-0.998467,1135.695801,1629.947632,12.591183,0.026171,0.012264,-0.200472,-0.979273,1048.793335,1580.529785,934.184570
30,0.125000,0.001314,0.014359,-0.117139,-0.993011,923.317444,1526.441162,13.129541,-0.000241,0.011883,-0.054068,-0.998467,1135.698730,1629.949341,12.599458,0.026043,0.012326,-0.200486,-0.979273,1048.824097,1580.584229,934.157837
31,0.129167,0.001227,0.014329,-0.117213,-0.993003,923.313110,1526.443481,13.138389,-0.000252,0.011838,-0.054061,-0.998467,1135.697266,1629.949829,12.594102,0.026077,0.012358,-0.200443,-0.979280,1048.869995,1580.618774,934.163086
32,0.133333,0.001282,0.014385,-0.117157,-0.993008,923.318909,1526.442261,13.129311,-0.000258,0.011831,-0.054063,-0.998467,1135.695679,1629.946045,12.596505,0.026106,0.012310,-0.200481,-0.979272,1048.901978,1580.663330,934.176636
33,0.137500,0.001300,0.014360,-0.117167,-0.993008,923.322021,1526.446045,13.130739,-0.000258,0.011839,-0.054038,-0.998469,1135.696167,1629.951050,12.597527,0.026281,0.012246,-0.200469,-0.979271,1048.958252,1580.687988,934.210571
34,0.141667,0.001323,0.014318,-0.117160,-0.993009,923.323853,1526.444092,13.135726,-0.000229,0.011804,-0.054065,-0.998468,1135.693481,1629.953125,12.591445,0.026356,0.012237,-0.200457,-0.979272,1048.998535,1580.704834,934.231323
35,0.145833,0.001314,0.014345,-0.117181,-0.993006,923.324585,1526.446289,13.131365,-0.000246,0.011782,-0.054059,-0.998468,1135.695068,1629.949585,12.600327,0.026393,0.012164,-0.200456,-0.979272,1049.037598,1580.740723,934.228271
36,0.150000,0.001342,0.014302,-0.117190,-0.993006,923.322815,1526.446167,13.129176,-0.000250,0.011830,-0.054065,-0.998467,1135.699585,1629.946167,12.593791,0.026367,0.012276,-0.200447,-0.979273,1049.063843,1580.767456,934.221069
37,0.154167,0.001347,0.014315,-0.117161,-0.993009,923.322388,1526.444702,13.133369,-0.000237,0.011784,-0.054057,-0.998468,1135.695801,1629.953857,12.592978,0.026623,0.012020,-0.200442,-0.979270,1049.118164,1580.805176,934.244507
38,0.158333,0.001363,0.014321,-0.117166,-0.993008,923.322693,1526.443726,13.134749,-0.000254,0.011797,-0.054068,-0.998468,1135.698486,1629.949219,12.594240,0.026555,0.012113,-0.200477,-0.979263,1049.137207,1580.826538,934.242249
39,0.162500,0.001344,0.014308,-0.117213,-0.993003,923.323669,1526.448608,13.133665,-0.000261,0.011824,-0.054075,-0.998467,1135.698364,1629.952271,12.603701,0.027073,0.011870,-0.200368,-0.979275,1049.210327,1580.904663,934.213013
40,0.166667,0.001367,0.014296,-0.117202,-0.993004,923.322937,1526.448486,13.134765,-0.000245,0.011779,-0.054050,-0.998469,1135.694336,1629.954956,12.599761,0.026863,0.012104,-0.200361,-0.979279,1049.226074,1580.910156,934.173767
41,0.170833,0.001384,0.014287,-0.117192,-0.993006,923.324280,1526.444092,13.137007,-0.000199,0.011870,-0.054076,-0.998466,1135.692993,1629.954224,12.596619,0.027085,0.011963,-0.200359,-0.979275,1049.268066,1580.936768,934.182983
42,0.175000,0.001387,0.014304,-0.117195,-0.993005,923.327515,1526.444824,13.138935,-0.000238,0.011815,-0.054062,-0.998468,1135.696655,1629.951782,12.597247,0.027046,0.012011,-0.200411,-0.979265,1049.295410,1580.965454,934.157898
43,0.179167,0.001374,0.014297,-0.117214,-0.993003,923.324219,1526.446655,13.138793,-0.000220,0.011862,-0.054064,-0.998467,1135.697754,1629.956665,12.599660,0.027121,0.011969,-0.200473,-0.979251,1049.327393,1580.989258,934.151001
44,0.183333,0.001322,0.014211,-0.117276,-0.992997,923.322205,1526.448364,13.145419,-0.000223,0.011874,-0.054042,-0.998468,1135.694214,1629.954346,12.597009,0.027064,0.012119,-0.200489,-0.979247,1049.344482,1581.018188,934.117188
