Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.012826,-0.018937,0.353826,0.935031,300.332214,1577.493164,22.370010,0.017406,-0.033226,0.263719,0.963870,570.388306,1824.933594,20.553991,-0.023729,-0.006099,-0.369252,-0.929006,421.981384,1673.238525,943.480957
1,0.004167,0.012862,-0.018849,0.353893,0.935008,300.328064,1577.504395,22.362080,0.017388,-0.033180,0.263740,0.963866,570.391663,1824.938477,20.547016,-0.023749,-0.005994,-0.369369,-0.928960,422.013916,1673.072754,943.460693
2,0.008333,0.012886,-0.018840,0.353905,0.935003,300.327576,1577.504272,22.368666,0.017405,-0.033173,0.263757,0.963861,570.395142,1824.938477,20.546648,-0.023736,-0.005951,-0.369430,-0.928936,422.041046,1672.920776,943.441406
3,0.012500,0.012848,-0.018834,0.354017,0.934961,300.313385,1577.505981,22.361406,0.017402,-0.033108,0.263742,0.963868,570.396973,1824.942261,20.548611,-0.023739,-0.005921,-0.369459,-0.928925,422.069824,1672.788574,943.416382
4,0.016667,0.012896,-0.018950,0.353947,0.934985,300.315796,1577.502808,22.366833,0.017393,-0.033157,0.263748,0.963865,570.400269,1824.948608,20.548969,-0.024212,-0.005946,-0.369426,-0.928926,421.992615,1672.795410,943.289307
5,0.020833,0.012945,-0.019080,0.353868,0.935011,300.323334,1577.493896,22.378054,0.017370,-0.033072,0.263755,0.963866,570.401978,1824.949951,20.555916,-0.024992,-0.006107,-0.369468,-0.928887,421.884857,1672.950684,943.138611
6,0.025000,0.012974,-0.019110,0.353874,0.935008,300.332397,1577.500977,22.385725,0.017375,-0.032989,0.263785,0.963861,570.413025,1824.957153,20.546871,-0.025713,-0.006288,-0.369914,-0.928689,421.929474,1672.950562,943.022522
7,0.029167,0.013010,-0.019184,0.353799,0.935034,300.337036,1577.487915,22.390972,0.017391,-0.032921,0.263767,0.963868,570.420898,1824.960815,20.552332,-0.026077,-0.006299,-0.370055,-0.928623,421.982025,1672.811768,943.005737
8,0.033333,0.013019,-0.019136,0.353856,0.935013,300.335297,1577.496826,22.381170,0.017373,-0.032791,0.263758,0.963875,570.424927,1824.965576,20.545414,-0.026178,-0.006248,-0.370177,-0.928571,422.014008,1672.685425,943.022095
9,0.037500,0.013077,-0.019148,0.353868,0.935008,300.327728,1577.494263,22.378342,0.017425,-0.032741,0.263779,0.963870,570.436768,1824.969849,20.550781,-0.026266,-0.006141,-0.370239,-0.928545,422.013672,1672.586914,943.046204
10,0.041667,0.013102,-0.019302,0.353728,0.935057,300.339020,1577.483521,22.393805,0.017365,-0.032677,0.263763,0.963877,570.438110,1824.975952,20.547064,-0.026292,-0.006036,-0.370312,-0.928515,422.029449,1672.443848,943.077637
11,0.045833,0.013084,-0.019250,0.353794,0.935034,300.329407,1577.481079,22.389896,0.017328,-0.032538,0.263830,0.963865,570.443787,1824.980469,20.541668,-0.026380,-0.005889,-0.370408,-0.928476,422.061279,1672.321411,943.074585
12,0.050000,0.013034,-0.019179,0.353797,0.935035,300.323029,1577.478394,22.381350,0.017297,-0.032500,0.263820,0.963869,570.452759,1824.984253,20.541555,-0.026447,-0.005836,-0.370493,-0.928440,422.088348,1672.187622,943.092712
13,0.054167,0.013079,-0.019216,0.353776,0.935041,300.322754,1577.475464,22.381426,0.017280,-0.032407,0.263801,0.963878,570.468994,1824.985229,20.540882,-0.026454,-0.005803,-0.370563,-0.928412,422.122681,1672.035889,943.105713
14,0.058333,0.013099,-0.019309,0.353681,0.935075,300.334259,1577.467041,22.395885,0.017259,-0.032251,0.263803,0.963883,570.471313,1824.991211,20.535881,-0.026478,-0.005786,-0.370597,-0.928398,422.152313,1671.894897,943.102417
15,0.062500,0.013123,-0.019284,0.353650,0.935087,300.337799,1577.466431,22.408079,0.017271,-0.032243,0.263782,0.963889,570.488220,1825.001099,20.541470,-0.026429,-0.005833,-0.370635,-0.928384,422.196198,1671.760742,943.107849
16,0.066667,0.013142,-0.019220,0.353674,0.935079,300.333954,1577.471313,22.400173,0.017216,-0.032136,0.263759,0.963899,570.508606,1825.006836,20.532967,-0.026397,-0.005821,-0.370686,-0.928365,422.242645,1671.609985,943.093689
17,0.070833,0.013151,-0.019272,0.353677,0.935076,300.334717,1577.468018,22.406929,0.017173,-0.031975,0.263778,0.963900,570.517761,1825.015137,20.526869,-0.026282,-0.005927,-0.370716,-0.928355,422.294708,1671.459351,943.094543
18,0.075000,0.013108,-0.019262,0.353730,0.935057,300.333008,1577.475830,22.405355,0.017112,-0.031794,0.263741,0.963918,570.534790,1825.024292,20.519135,-0.026227,-0.006015,-0.370689,-0.928367,422.333038,1671.313721,943.097778
19,0.079167,0.013101,-0.019365,0.353725,0.935057,300.335571,1577.476929,22.414745,0.017123,-0.031614,0.263716,0.963930,570.555359,1825.033203,20.517885,-0.026145,-0.006110,-0.370678,-0.928373,422.376740,1671.159912,943.095642
20,0.083333,0.013115,-0.019323,0.353631,0.935093,300.333618,1577.466309,22.414482,0.017013,-0.031391,0.263722,0.963938,570.565430,1825.040894,20.514151,-0.025606,-0.006008,-0.369759,-0.928755,422.326080,1670.697510,943.189941
21,0.087500,0.013181,-0.019372,0.353629,0.935092,300.335510,1577.461914,22.416096,0.017019,-0.031267,0.263703,0.963947,570.583923,1825.055664,20.511244,-0.025189,-0.006047,-0.369621,-0.928821,422.450897,1670.357788,943.240479
22,0.091667,0.013171,-0.019337,0.353650,0.935085,300.336639,1577.466431,22.412645,0.016948,-0.031074,0.263674,0.963962,570.600098,1825.068970,20.502449,-0.024874,-0.006075,-0.369702,-0.928798,422.598328,1670.111206,943.239624
23,0.095833,0.013182,-0.019373,0.353635,0.935090,300.333496,1577.457886,22.418068,0.016884,-0.030900,0.263677,0.963968,570.621704,1825.082397,20.496613,-0.024354,-0.006211,-0.369885,-0.928737,422.752899,1669.901001,943.273315
24,0.100000,0.013158,-0.019311,0.353659,0.935083,300.332184,1577.463989,22.412716,0.016805,-0.030637,0.263676,0.963978,570.635742,1825.094360,20.491306,-0.023964,-0.006327,-0.369867,-0.928754,422.826141,1669.705200,943.299622
25,0.104167,0.013683,-0.023138,0.350823,0.936056,300.594482,1577.175903,22.689320,0.016739,-0.030516,0.263660,0.963988,570.658142,1825.112793,20.482059,-0.023710,-0.006337,-0.369790,-0.928791,422.859894,1669.524414,943.297607
26,0.108333,0.013806,-0.023603,0.350481,0.936171,300.636383,1577.157104,22.770899,0.016688,-0.030411,0.263663,0.963991,570.676758,1825.129028,20.464569,-0.023558,-0.006289,-0.369777,-0.928800,422.901398,1669.325073,943.304138
27,0.112500,0.013775,-0.023633,0.350583,0.936132,300.638092,1577.148560,22.752100,0.016589,-0.030200,0.263675,0.963996,570.695374,1825.142456,20.465900,-0.023578,-0.006254,-0.369738,-0.928816,422.937561,1669.142822,943.296936
28,0.116667,0.013846,-0.023546,0.350665,0.936102,300.632904,1577.159912,22.740276,0.016490,-0.030004,0.263696,0.963998,570.707092,1825.157104,20.457369,-0.023659,-0.006252,-0.369748,-0.928810,422.979309,1668.964844,943.301086
29,0.120833,0.013825,-0.023489,0.350591,0.936132,300.632935,1577.158936,22.743729,0.016398,-0.029803,0.263678,0.964011,570.732544,1825.174927,20.447174,-0.024059,-0.006199,-0.369734,-0.928805,422.926819,1668.867310,943.227966
30,0.125000,0.013862,-0.023439,0.350630,0.936118,300.630127,1577.168213,22.743370,0.016306,-0.029531,0.263696,0.964016,570.754639,1825.196533,20.437479,-0.024705,-0.006107,-0.369634,-0.928829,422.870636,1668.794678,943.151672
31,0.129167,0.013904,-0.023501,0.350659,0.936105,300.629608,1577.168945,22.747120,0.016158,-0.029290,0.263676,0.964031,570.772705,1825.220703,20.423847,-0.025585,-0.006168,-0.369635,-0.928804,422.795776,1668.821533,943.036255
32,0.133333,0.013889,-0.023438,0.350665,0.936104,300.626678,1577.171753,22.747740,0.016045,-0.029054,0.263628,0.964053,570.795959,1825.242188,20.412975,-0.025914,-0.006220,-0.370288,-0.928535,422.938568,1668.716797,943.058838
33,0.137500,0.013923,-0.023445,0.350698,0.936092,300.619659,1577.173462,22.745291,0.015997,-0.028868,0.263616,0.964063,570.804199,1825.254272,20.398184,-0.026144,-0.006166,-0.370429,-0.928472,422.979279,1668.550903,943.099915
34,0.141667,0.013921,-0.023383,0.350720,0.936085,300.615753,1577.178101,22.736217,0.015794,-0.028621,0.263619,0.964073,570.814636,1825.272949,20.392576,-0.026226,-0.006001,-0.370528,-0.928432,423.010315,1668.375854,943.137817
35,0.145833,0.013887,-0.023420,0.350752,0.936072,300.612427,1577.184692,22.734283,0.015772,-0.028441,0.263616,0.964079,570.830811,1825.294922,20.381268,-0.026288,-0.005810,-0.370634,-0.928389,423.055847,1668.157593,943.192078
36,0.150000,0.013889,-0.023444,0.350717,0.936085,300.612305,1577.189087,22.738613,0.015683,-0.028318,0.263582,0.964094,570.848633,1825.315918,20.377426,-0.026326,-0.005651,-0.370706,-0.928360,423.087708,1667.954834,943.221619
37,0.154167,0.013855,-0.023359,0.350699,0.936094,300.608917,1577.195312,22.743715,0.015622,-0.028171,0.263554,0.964107,570.864380,1825.338623,20.368389,-0.026423,-0.005521,-0.370762,-0.928336,423.138123,1667.715210,943.255371
38,0.158333,0.013929,-0.023320,0.350750,0.936075,300.602600,1577.210449,22.744268,0.015523,-0.028047,0.263529,0.964119,570.875732,1825.359863,20.361465,-0.026440,-0.005431,-0.370786,-0.928326,423.185028,1667.465820,943.282471
