Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.020133,0.009072,-0.885396,-0.464313,1267.773804,1364.193359,5.435352,-0.009644,0.000827,-0.809923,-0.586456,1129.916626,1571.586304,9.364595,0.003721,-0.039963,0.831398,0.554226,1193.641357,1487.054688,928.814087
1,0.004167,-0.020168,0.009111,-0.885412,-0.464279,1267.771484,1364.202393,5.435726,-0.009697,0.000980,-0.809864,-0.586536,1129.903931,1571.559570,9.358623,0.003622,-0.040128,0.831199,0.554513,1193.490112,1486.621704,928.815430
2,0.008333,-0.020050,0.009054,-0.885413,-0.464284,1267.761475,1364.209961,5.430647,-0.009820,0.001142,-0.809838,-0.586571,1129.895630,1571.552734,9.358258,0.003694,-0.040366,0.831080,0.554673,1193.288086,1486.178101,928.808838
3,0.012500,-0.019907,0.009110,-0.885444,-0.464230,1267.754517,1364.221558,5.431751,-0.009846,0.001223,-0.809793,-0.586632,1129.893066,1571.537231,9.351581,0.003513,-0.040366,0.830911,0.554928,1193.087280,1485.765015,928.800415
4,0.016667,-0.019861,0.009052,-0.885481,-0.464162,1267.753418,1364.229248,5.424920,-0.009997,0.001375,-0.809794,-0.586627,1129.885986,1571.535522,9.345767,0.000865,-0.040563,0.830332,0.555790,1192.596680,1485.226929,929.050537
5,0.020833,-0.019986,0.009162,-0.885485,-0.464147,1267.759888,1364.234863,5.423561,-0.010047,0.001475,-0.809738,-0.586704,1129.879395,1571.525757,9.342067,0.000696,-0.040897,0.829991,0.556274,1192.400757,1484.745117,929.054993
6,0.025000,-0.019936,0.009183,-0.885505,-0.464111,1267.770020,1364.235107,5.418062,-0.010107,0.001626,-0.809722,-0.586724,1129.881470,1571.521484,9.335231,0.002476,-0.040956,0.829995,0.556260,1192.670166,1484.364990,928.785706
7,0.029167,-0.019974,0.009244,-0.885525,-0.464069,1267.769043,1364.222168,5.413493,-0.010196,0.001724,-0.809737,-0.586702,1129.876099,1571.525757,9.332373,0.002579,-0.040973,0.829870,0.556445,1192.512939,1483.962769,928.755005
8,0.033333,-0.019992,0.009308,-0.885511,-0.464094,1267.778076,1364.208008,5.403475,-0.010245,0.001853,-0.809709,-0.586740,1129.877686,1571.514893,9.327663,0.002738,-0.041204,0.829787,0.556550,1192.329102,1483.584595,928.757751
9,0.037500,-0.020072,0.009400,-0.885518,-0.464077,1267.791748,1364.208984,5.394046,-0.010276,0.001952,-0.809679,-0.586780,1129.874634,1571.512939,9.329855,0.002944,-0.041110,0.829650,0.556760,1192.207764,1483.188965,928.717834
10,0.041667,-0.020097,0.009510,-0.885512,-0.464084,1267.795654,1364.192505,5.394101,-0.010423,0.002091,-0.809689,-0.586763,1129.875488,1571.508789,9.326434,0.002693,-0.041368,0.829596,0.556823,1192.040894,1482.784424,928.651062
11,0.045833,-0.020265,0.009551,-0.885509,-0.464082,1267.806885,1364.186035,5.390616,-0.010504,0.002133,-0.809675,-0.586781,1129.870850,1571.511963,9.328531,0.002596,-0.041608,0.829501,0.556947,1191.905396,1482.411621,928.603882
12,0.050000,-0.020214,0.009593,-0.885530,-0.464042,1267.816406,1364.165527,5.369513,-0.010589,0.002324,-0.809674,-0.586780,1129.868896,1571.505493,9.323711,0.002598,-0.041642,0.829438,0.557038,1191.760498,1482.028198,928.586243
13,0.054167,-0.020318,0.009724,-0.885522,-0.464051,1267.830444,1364.145630,5.371575,-0.010654,0.002341,-0.809643,-0.586821,1129.868896,1571.503784,9.326079,0.002788,-0.041814,0.829381,0.557109,1191.612427,1481.612793,928.624390
14,0.058333,-0.020417,0.009782,-0.885540,-0.464011,1267.842163,1364.129883,5.359083,-0.010649,0.002368,-0.809628,-0.586842,1129.864380,1571.495728,9.321304,0.002940,-0.041824,0.829283,0.557254,1191.485962,1481.190308,928.624939
15,0.062500,-0.020544,0.009837,-0.885515,-0.464052,1267.845215,1364.095825,5.356917,-0.010746,0.002452,-0.809627,-0.586841,1129.866577,1571.491333,9.313956,0.002875,-0.041919,0.829191,0.557384,1191.364136,1480.759277,928.611938
16,0.066667,-0.020684,0.009922,-0.885537,-0.464002,1267.861816,1364.073242,5.348670,-0.010742,0.002442,-0.809583,-0.586902,1129.857910,1571.478638,9.315001,0.002896,-0.042105,0.829039,0.557596,1191.250854,1480.310181,928.598572
17,0.070833,-0.020594,0.009926,-0.885522,-0.464035,1267.858398,1364.040771,5.340672,-0.010781,0.002512,-0.809589,-0.586893,1129.856934,1571.470947,9.305883,0.002919,-0.042233,0.828882,0.557819,1191.132080,1479.870483,928.571472
18,0.075000,-0.020770,0.009952,-0.885559,-0.463955,1267.875854,1364.029663,5.323149,-0.010804,0.002546,-0.809564,-0.586927,1129.852783,1571.448120,9.300875,0.003159,-0.042543,0.828601,0.558213,1191.213501,1479.455811,928.545288
19,0.079167,-0.020776,0.010054,-0.885538,-0.463993,1267.879150,1364.012085,5.321287,-0.010864,0.002586,-0.809552,-0.586943,1129.852905,1571.437744,9.298043,0.003316,-0.042566,0.828280,0.558686,1191.270996,1479.089355,928.543457
20,0.083333,-0.020803,0.010113,-0.885546,-0.463976,1267.883301,1363.997192,5.316258,-0.010898,0.002609,-0.809517,-0.586990,1129.852417,1571.415894,9.287284,0.003365,-0.042495,0.828170,0.558854,1191.062988,1478.565186,928.517578
21,0.087500,-0.020946,0.010137,-0.885556,-0.463950,1267.890991,1363.987427,5.300559,-0.010977,0.002702,-0.809485,-0.587032,1129.853271,1571.407471,9.283123,0.002913,-0.042500,0.828050,0.559034,1190.829712,1478.070190,928.507629
22,0.091667,-0.020810,0.010178,-0.885527,-0.464009,1267.889648,1363.973877,5.301592,-0.010986,0.002720,-0.809448,-0.587083,1129.853760,1571.392456,9.285244,0.003124,-0.042637,0.827968,0.559144,1190.741699,1477.639038,928.453735
23,0.095833,-0.020910,0.010207,-0.885537,-0.463986,1267.896973,1363.960815,5.289008,-0.011092,0.002812,-0.809437,-0.587095,1129.853882,1571.384888,9.277767,0.003234,-0.042620,0.827868,0.559292,1190.639038,1477.199341,928.422913
24,0.100000,-0.021051,0.010325,-0.885522,-0.464006,1267.905884,1363.956055,5.287140,-0.011129,0.002900,-0.809400,-0.587146,1129.858276,1571.372192,9.273911,0.003273,-0.042691,0.827736,0.559482,1190.575806,1476.718384,928.410950
25,0.104167,-0.020953,0.010330,-0.885519,-0.464015,1267.902344,1363.941040,5.279236,-0.011149,0.002951,-0.809347,-0.587217,1129.855347,1571.350952,9.273483,0.003356,-0.042616,0.827615,0.559666,1190.508057,1476.222168,928.399597
26,0.108333,-0.021008,0.010437,-0.885503,-0.464041,1267.902222,1363.936646,5.282271,-0.011272,0.003038,-0.809299,-0.587281,1129.857056,1571.336182,9.264002,0.003370,-0.042693,0.827451,0.559902,1190.454102,1475.720581,928.394409
27,0.112500,-0.021066,0.010396,-0.885512,-0.464022,1267.906128,1363.936768,5.265750,-0.011346,0.003157,-0.809275,-0.587312,1129.851318,1571.323853,9.268387,0.003346,-0.042846,0.827316,0.560090,1190.423340,1475.200684,928.372131
28,0.116667,-0.020998,0.010439,-0.885490,-0.464065,1267.902222,1363.924438,5.265329,-0.011426,0.003265,-0.809245,-0.587352,1129.852417,1571.304443,9.264264,0.003365,-0.042908,0.827176,0.560292,1190.420532,1474.679077,928.378723
29,0.120833,-0.020879,0.010474,-0.885484,-0.464083,1267.899170,1363.914551,5.262710,-0.011540,0.003346,-0.809230,-0.587368,1129.855713,1571.300903,9.261053,0.003404,-0.043140,0.827138,0.560330,1190.371826,1474.134277,928.390686
30,0.125000,-0.020970,0.010493,-0.885470,-0.464104,1267.900391,1363.917358,5.255272,-0.011617,0.003459,-0.809210,-0.587395,1129.854736,1571.277954,9.256806,0.003355,-0.043099,0.827092,0.560402,1190.348755,1473.611328,928.397705
