Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.004649,0.002368,-0.085317,-0.996340,772.503723,-222.502365,10.361235,0.008765,0.024781,0.150865,-0.988205,1080.286621,-184.013138,9.626754,-0.025461,-0.015782,0.063684,0.997521,946.445862,-178.830688,927.189941
1,0.004167,0.004689,0.002379,-0.085258,-0.996345,772.510864,-222.508240,10.366247,0.008787,0.024856,0.150874,-0.988201,1080.283569,-184.012466,9.626313,-0.025459,-0.015798,0.063682,0.997520,946.477722,-178.837280,927.183655
2,0.008333,0.004694,0.002262,-0.085294,-0.996342,772.508362,-222.505722,10.365338,0.008784,0.024840,0.150891,-0.988199,1080.284424,-184.012604,9.628632,-0.025454,-0.015798,0.063695,0.997520,946.509827,-178.849426,927.187866
3,0.012500,0.004644,0.002314,-0.085308,-0.996341,772.509766,-222.503113,10.375875,0.008808,0.024806,0.150864,-0.988204,1080.281250,-184.011185,9.626395,-0.025443,-0.015815,0.063727,0.997518,946.539001,-178.861115,927.177429
4,0.016667,0.004653,0.002336,-0.085313,-0.996341,772.508484,-222.499435,10.377512,0.008820,0.024778,0.150839,-0.988208,1080.280273,-184.011871,9.622536,-0.025412,-0.015816,0.063761,0.997516,946.567078,-178.864197,927.174255
5,0.020833,0.004660,0.002237,-0.085347,-0.996338,772.509521,-222.492279,10.370147,0.008808,0.024775,0.150872,-0.988204,1080.281860,-184.016235,9.632625,-0.025384,-0.015780,0.063831,0.997513,946.611694,-178.865036,927.184143
6,0.025000,0.004718,0.002199,-0.085315,-0.996341,772.516174,-222.496338,10.368988,0.008805,0.024779,0.150875,-0.988203,1080.282104,-184.015518,9.629772,-0.025415,-0.015811,0.063821,0.997512,946.644592,-178.867020,927.176331
7,0.029167,0.004720,0.002162,-0.085318,-0.996340,772.517578,-222.499954,10.365800,0.008780,0.024773,0.150867,-0.988205,1080.280029,-184.017181,9.633955,-0.025384,-0.015796,0.063849,0.997512,946.678284,-178.870544,927.170715
8,0.033333,0.004767,0.002121,-0.085347,-0.996338,772.513550,-222.495132,10.367130,0.008801,0.024715,0.150797,-0.988217,1080.282104,-184.006256,9.626856,-0.025384,-0.015784,0.063854,0.997512,946.716187,-178.874908,927.174500
9,0.037500,0.004781,0.002091,-0.085315,-0.996340,772.517761,-222.498016,10.359584,0.008789,0.024747,0.150818,-0.988213,1080.277222,-184.010071,9.626898,-0.025349,-0.015800,0.063871,0.997511,946.756653,-178.869064,927.171631
