Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.015326,0.011200,-0.620187,-0.784225,-560.789734,874.158325,38.784607,0.011098,-0.011386,0.474063,0.880347,-471.834961,1177.436523,40.902325,-0.004562,-0.033782,0.532477,0.845758,-499.254486,1024.827515,959.459045
1,0.004167,-0.015321,0.011227,-0.620148,-0.784255,-560.790283,874.155457,38.784538,0.011135,-0.011533,0.474085,0.880333,-471.830841,1177.440552,40.893814,-0.004542,-0.033796,0.532535,0.845721,-499.224731,1024.861450,959.461182
2,0.008333,-0.015325,0.011225,-0.620139,-0.784262,-560.793152,874.148682,38.785294,0.011149,-0.011601,0.474109,0.880319,-471.825897,1177.439819,40.892937,-0.004613,-0.033836,0.532616,0.845668,-499.197357,1024.883911,959.459656
3,0.012500,-0.015426,0.011262,-0.620130,-0.784266,-560.792847,874.147522,38.788521,0.011160,-0.011540,0.474090,0.880330,-471.825073,1177.439209,40.890976,-0.004655,-0.033839,0.532690,0.845621,-499.167755,1024.912842,959.468506
4,0.016667,-0.015410,0.011250,-0.620131,-0.784267,-560.790649,874.144470,38.785709,0.011133,-0.011514,0.474110,0.880320,-471.827911,1177.438721,40.893753,-0.004680,-0.033809,0.532759,0.845579,-499.133026,1024.944336,959.485413
5,0.020833,-0.015457,0.011320,-0.620110,-0.784281,-560.792358,874.138306,38.785164,0.011139,-0.011544,0.474104,0.880323,-471.826111,1177.434937,40.892429,-0.004681,-0.033808,0.532820,0.845540,-499.097137,1024.971191,959.493103
6,0.025000,-0.015520,0.011344,-0.620102,-0.784286,-560.789551,874.129028,38.784927,0.011147,-0.011552,0.474117,0.880315,-471.822784,1177.435669,40.892117,-0.004709,-0.033787,0.532887,0.845499,-499.060913,1025.039673,959.505798
7,0.029167,-0.015541,0.011371,-0.620093,-0.784292,-560.792969,874.127869,38.780930,0.011143,-0.011537,0.474110,0.880319,-471.821350,1177.434326,40.892521,-0.004705,-0.033804,0.532969,0.845446,-499.027283,1025.065552,959.513489
8,0.033333,-0.015513,0.011399,-0.620070,-0.784310,-560.794373,874.124634,38.784603,0.011158,-0.011498,0.474119,0.880315,-471.821777,1177.436768,40.895390,-0.004767,-0.033761,0.533069,0.845385,-498.990204,1025.113281,959.525085
9,0.037500,-0.015569,0.011423,-0.620057,-0.784319,-560.795349,874.117920,38.785011,0.011163,-0.011513,0.474123,0.880313,-471.822418,1177.436768,40.899265,-0.004799,-0.033787,0.533160,0.845326,-498.950836,1025.149170,959.529419
10,0.041667,-0.015557,0.011431,-0.620055,-0.784320,-560.794189,874.115173,38.784943,0.011134,-0.011513,0.474123,0.880313,-471.818512,1177.434570,40.895664,-0.004795,-0.033729,0.533251,0.845271,-498.921082,1025.184937,959.546570
11,0.045833,-0.015602,0.011434,-0.620051,-0.784323,-560.794800,874.112122,38.783363,0.011131,-0.011517,0.474142,0.880303,-471.816589,1177.435425,40.896030,-0.004796,-0.033687,0.533355,0.845207,-498.883820,1025.215820,959.553101
12,0.050000,-0.015646,0.011471,-0.620044,-0.784327,-560.794495,874.109375,38.782864,0.011093,-0.011316,0.474120,0.880318,-471.824036,1177.424438,40.897926,-0.004831,-0.033682,0.533460,0.845141,-498.852112,1025.262573,959.559326
13,0.054167,-0.015653,0.011475,-0.620013,-0.784352,-560.792603,874.104553,38.785988,0.011106,-0.011310,0.474128,0.880313,-471.818848,1177.430908,40.901600,-0.004850,-0.033679,0.533561,0.845077,-498.807709,1025.298950,959.566223
14,0.058333,-0.015697,0.011497,-0.620012,-0.784351,-560.792786,874.100098,38.787403,0.011117,-0.011398,0.474132,0.880310,-471.815887,1177.431763,40.896156,-0.004881,-0.033649,0.533672,0.845008,-498.768707,1025.352173,959.577393
15,0.062500,-0.015652,0.011491,-0.620001,-0.784360,-560.792969,874.099854,38.781296,0.011123,-0.011440,0.474142,0.880304,-471.813446,1177.432861,40.895496,-0.004904,-0.033671,0.533777,0.844940,-498.731415,1025.388916,959.580566
16,0.066667,-0.015716,0.011530,-0.619992,-0.784366,-560.795166,874.103821,38.786076,0.011120,-0.011391,0.474135,0.880308,-471.812653,1177.434204,40.897861,-0.004939,-0.033624,0.533892,0.844869,-498.688232,1025.438110,959.589661
17,0.070833,-0.015778,0.011578,-0.620000,-0.784358,-560.794800,874.101868,38.784466,0.011107,-0.011349,0.474142,0.880305,-471.813812,1177.428223,40.896404,-0.004942,-0.033624,0.534002,0.844800,-498.641632,1025.482178,959.598694
18,0.075000,-0.015810,0.011624,-0.620001,-0.784356,-560.796326,874.098083,38.789822,0.011133,-0.011314,0.474140,0.880306,-471.821777,1177.441895,40.899189,-0.004985,-0.033611,0.534122,0.844725,-498.607269,1025.532227,959.605164
19,0.079167,-0.015809,0.011614,-0.619989,-0.784365,-560.797058,874.095215,38.787113,0.011092,-0.011293,0.474137,0.880309,-471.824310,1177.436646,40.901497,-0.005017,-0.033548,0.534250,0.844646,-498.567902,1025.585815,959.622986
20,0.083333,-0.015800,0.011619,-0.619951,-0.784395,-560.796448,874.090332,38.790424,0.011095,-0.011249,0.474140,0.880308,-471.823853,1177.437744,40.903412,-0.005024,-0.033553,0.534361,0.844575,-498.528900,1025.638428,959.623718
21,0.087500,-0.015760,0.011580,-0.619956,-0.784393,-560.796570,874.083069,38.783859,0.011075,-0.011226,0.474160,0.880297,-471.818878,1177.420044,40.900826,-0.005119,-0.033522,0.534494,0.844491,-498.477386,1025.688354,959.638428
22,0.091667,-0.015805,0.011601,-0.619975,-0.784377,-560.795959,874.083374,38.788006,0.011061,-0.011189,0.474166,0.880295,-471.812622,1177.428711,40.912403,-0.004782,-0.033630,0.534630,0.844403,-498.440643,1025.770996,959.565796
23,0.095833,-0.015848,0.011631,-0.619959,-0.784388,-560.800232,874.086853,38.792229,0.011112,-0.011257,0.474148,0.880303,-471.818359,1177.435913,40.902218,-0.004684,-0.033597,0.534786,0.844306,-498.399231,1025.828369,959.567200
24,0.100000,-0.015828,0.011619,-0.619957,-0.784390,-560.795654,874.080505,38.787552,0.011101,-0.011258,0.474151,0.880302,-471.821442,1177.435425,40.907364,-0.004653,-0.033634,0.534926,0.844216,-498.364899,1025.897461,959.566711
25,0.104167,-0.015880,0.011683,-0.619940,-0.784401,-560.796753,874.082947,38.790573,0.011107,-0.011284,0.474176,0.880288,-471.820374,1177.434082,40.901508,-0.004709,-0.033624,0.535064,0.844129,-498.322113,1025.959473,959.584351
26,0.108333,-0.015891,0.011705,-0.619944,-0.784398,-560.792725,874.082275,38.794899,0.011090,-0.011260,0.474181,0.880285,-471.807739,1177.426270,40.898216,-0.004714,-0.033618,0.535213,0.844035,-498.289764,1026.011963,959.586731
27,0.112500,-0.015926,0.011720,-0.619940,-0.784400,-560.797852,874.078552,38.792175,0.011127,-0.011258,0.474176,0.880288,-471.804504,1177.425293,40.902367,-0.004731,-0.033562,0.535395,0.843921,-498.244598,1026.078613,959.599854
28,0.116667,-0.015951,0.011731,-0.619943,-0.784397,-560.799500,874.073425,38.791004,0.011097,-0.011250,0.474186,0.880283,-471.807068,1177.426025,40.909630,-0.004742,-0.033533,0.535583,0.843803,-498.205688,1026.143433,959.598511
29,0.120833,-0.015865,0.011688,-0.619933,-0.784407,-560.797791,874.067810,38.793907,0.011102,-0.011301,0.474212,0.880268,-471.806213,1177.424805,40.905788,-0.004739,-0.033504,0.535757,0.843694,-498.167786,1026.198975,959.606628
30,0.125000,-0.015936,0.011722,-0.619919,-0.784417,-560.796997,874.072205,38.799049,0.011111,-0.011298,0.474206,0.880271,-471.802460,1177.421631,40.898987,-0.004747,-0.033464,0.535915,0.843595,-498.132019,1026.265137,959.607483
31,0.129167,-0.015968,0.011776,-0.619934,-0.784403,-560.795593,874.074036,38.798115,0.011096,-0.011277,0.474211,0.880269,-471.803314,1177.420166,40.901436,-0.004731,-0.033453,0.536091,0.843484,-498.096436,1026.334351,959.605774
32,0.133333,-0.015894,0.011731,-0.619939,-0.784402,-560.793640,874.074036,38.796196,0.011069,-0.011157,0.474203,0.880275,-471.813171,1177.410156,40.908710,-0.004777,-0.033444,0.536301,0.843350,-498.051971,1026.405884,959.608521
33,0.137500,-0.015931,0.011771,-0.619932,-0.784405,-560.796204,874.067871,38.802063,0.011047,-0.011134,0.474201,0.880277,-471.809692,1177.416138,40.909863,-0.004749,-0.033437,0.536461,0.843249,-498.019409,1026.477173,959.604309
34,0.141667,-0.016003,0.011771,-0.619937,-0.784400,-560.793640,874.073364,38.805882,0.011077,-0.011182,0.474224,0.880264,-471.809021,1177.409668,40.908398,-0.004721,-0.033398,0.536682,0.843110,-497.969360,1026.554199,959.605347
35,0.145833,-0.015891,0.011717,-0.619941,-0.784400,-560.796692,874.075317,38.798885,0.011071,-0.011221,0.474236,0.880257,-471.807129,1177.419189,40.904926,-0.004713,-0.033428,0.536897,0.842972,-497.932220,1026.629395,959.595581
36,0.150000,-0.015942,0.011735,-0.619942,-0.784398,-560.798157,874.072937,38.804253,0.011067,-0.011137,0.474235,0.880258,-471.807495,1177.408813,40.912411,-0.004698,-0.033488,0.537104,0.842838,-497.904144,1026.719238,959.559814
37,0.154167,-0.015942,0.011733,-0.619950,-0.784392,-560.792114,874.068298,38.804287,0.011067,-0.011177,0.474240,0.880255,-471.801544,1177.418213,40.909206,-0.004709,-0.033456,0.537328,0.842696,-497.868225,1026.798828,959.566772
38,0.158333,-0.015879,0.011679,-0.619956,-0.784389,-560.792175,874.068054,38.801689,0.011105,-0.011268,0.474259,0.880243,-471.798370,1177.418457,40.901722,-0.004707,-0.033434,0.537550,0.842555,-497.833923,1026.887573,959.560425
39,0.162500,-0.015933,0.011690,-0.619988,-0.784363,-560.793274,874.067871,38.801743,0.011099,-0.011223,0.474275,0.880235,-471.798950,1177.421387,40.904987,-0.004642,-0.033439,0.537793,0.842401,-497.789856,1026.962891,959.559570
40,0.166667,-0.015919,0.011683,-0.619961,-0.784384,-560.790161,874.067932,38.808834,0.011052,-0.011102,0.474288,0.880230,-471.802704,1177.413086,40.910465,-0.004620,-0.033389,0.538023,0.842256,-497.755432,1027.054199,959.564148
41,0.170833,-0.015921,0.011679,-0.619967,-0.784380,-560.789673,874.066956,38.802433,0.011039,-0.011087,0.474287,0.880231,-471.799347,1177.421631,40.913193,-0.004609,-0.033413,0.538245,0.842113,-497.720001,1027.146606,959.559082
42,0.175000,-0.015964,0.011701,-0.620000,-0.784352,-560.793579,874.071716,38.807301,0.011052,-0.011162,0.474291,0.880228,-471.793976,1177.420898,40.905464,-0.004584,-0.033359,0.538488,0.841960,-497.685883,1027.230713,959.565186
