Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.000432,0.015490,0.015377,-0.999762,1319.763306,1962.741577,7.087300,0.009258,0.033670,0.157246,-0.986942,1630.296753,1970.550415,4.677649,-0.003131,0.005496,-0.036805,-0.999303,1457.772583,1970.849365,931.214722
1,0.004167,-0.000403,0.015446,0.015422,-0.999762,1319.762695,1962.748535,7.068074,0.009261,0.033451,0.157279,-0.986944,1630.311401,1970.555664,4.656118,-0.003149,0.005415,-0.036831,-0.999302,1457.749634,1970.849243,931.218079
2,0.008333,-0.000419,0.015402,0.015417,-0.999762,1319.766602,1962.741943,7.078399,0.009348,0.033394,0.157159,-0.986964,1630.336548,1970.567261,4.642931,-0.003159,0.005376,-0.036791,-0.999304,1457.709595,1970.843750,931.222412
3,0.012500,-0.000387,0.015303,0.015411,-0.999764,1319.766724,1962.761353,7.077698,0.009404,0.033159,0.157163,-0.986971,1630.337524,1970.573975,4.606518,-0.003134,0.005317,-0.036826,-0.999303,1457.675659,1970.827759,931.237000
4,0.016667,-0.000342,0.015376,0.015401,-0.999763,1319.768677,1962.763672,7.078504,0.009405,0.032991,0.157091,-0.986988,1630.358398,1970.583618,4.615866,-0.003155,0.005330,-0.036864,-0.999301,1457.587891,1970.822632,931.255066
5,0.020833,-0.000310,0.015273,0.015423,-0.999764,1319.781006,1962.761963,7.083929,0.009330,0.032963,0.157169,-0.986977,1630.376343,1970.574341,4.610037,-0.003140,0.005300,-0.036895,-0.999300,1457.531616,1970.793335,931.272949
6,0.025000,-0.000334,0.015379,0.015428,-0.999763,1319.770508,1962.746338,7.094019,0.009336,0.032873,0.157103,-0.986991,1630.391357,1970.586792,4.600808,-0.002447,0.005777,-0.036075,-0.999329,1457.756104,1971.308350,931.035522
7,0.029167,-0.000314,0.015350,0.015376,-0.999764,1319.772949,1962.757568,7.111968,0.009488,0.032860,0.157067,-0.986996,1630.411499,1970.572754,4.597553,-0.002515,0.005718,-0.036026,-0.999331,1457.697754,1971.306519,931.084595
8,0.033333,-0.000288,0.015339,0.015419,-0.999763,1319.784180,1962.779053,7.109169,0.009486,0.032788,0.157031,-0.987004,1630.423340,1970.585205,4.598289,-0.002589,0.005751,-0.035966,-0.999333,1457.638428,1971.314331,931.124512
9,0.037500,-0.000308,0.015362,0.015424,-0.999763,1319.784790,1962.769409,7.117959,0.009415,0.032730,0.157046,-0.987004,1630.450439,1970.592896,4.605943,-0.002789,0.005755,-0.035917,-0.999334,1457.575806,1971.313354,931.176575
10,0.041667,-0.000295,0.015315,0.015418,-0.999764,1319.793457,1962.768188,7.120275,0.009484,0.032798,0.157026,-0.987004,1630.467896,1970.587402,4.594869,-0.002987,0.005727,-0.035912,-0.999334,1457.508789,1971.321411,931.232178
11,0.045833,-0.000247,0.015243,0.015419,-0.999765,1319.789307,1962.768311,7.114316,0.009466,0.032615,0.157082,-0.987001,1630.482178,1970.593140,4.586943,-0.003170,0.005734,-0.035874,-0.999335,1457.441040,1971.294922,931.299377
12,0.050000,-0.000252,0.015413,0.015400,-0.999763,1319.782715,1962.777100,7.129166,0.009685,0.032603,0.156958,-0.987020,1630.503052,1970.588745,4.561688,-0.003332,0.005666,-0.035948,-0.999332,1457.343384,1971.252319,931.394104
13,0.054167,-0.000164,0.015432,0.015406,-0.999762,1319.794434,1962.787354,7.128831,0.012095,0.027525,0.160526,-0.986574,1630.729736,1970.224243,4.010287,-0.003720,0.005607,-0.036027,-0.999328,1457.234131,1971.226929,931.468994
14,0.058333,-0.000126,0.015341,0.015401,-0.999764,1319.792480,1962.789917,7.131641,0.012618,0.027494,0.160755,-0.986531,1630.797363,1970.237549,3.911565,-0.003907,0.005584,-0.036050,-0.999327,1457.153687,1971.177979,931.543213
15,0.062500,-0.000070,0.015278,0.015402,-0.999765,1319.801758,1962.809204,7.124925,0.013482,0.027574,0.161194,-0.986445,1630.894287,1970.253174,3.810582,-0.004090,0.005614,-0.036017,-0.999327,1457.074463,1971.122314,931.607544
16,0.066667,-0.000037,0.015252,0.015398,-0.999765,1319.804199,1962.810791,7.128991,0.014909,0.027914,0.161655,-0.986340,1631.013306,1970.273315,3.639548,-0.004385,0.005640,-0.035965,-0.999328,1456.949341,1971.061279,931.686523
17,0.070833,-0.000041,0.015125,0.015383,-0.999767,1319.815796,1962.828613,7.130335,0.015665,0.028047,0.162104,-0.986251,1631.149292,1970.326660,3.497516,-0.004638,0.005624,-0.035999,-0.999325,1456.794678,1970.962891,931.788330
18,0.075000,0.000011,0.015161,0.015360,-0.999767,1319.818115,1962.835815,7.134302,0.013759,0.033260,0.158120,-0.986764,1630.893921,1970.946899,3.779015,-0.004788,0.005656,-0.035935,-0.999327,1456.681885,1970.906616,931.835388
19,0.079167,0.000018,0.015247,0.015403,-0.999765,1319.817627,1962.843872,7.143448,0.010192,0.039847,0.157137,-0.986720,1631.138184,1971.471680,4.424723,-0.004857,0.005640,-0.036010,-0.999324,1456.538452,1970.831055,931.887878
20,0.083333,0.000074,0.015301,0.015402,-0.999764,1319.826904,1962.858643,7.151198,0.013682,0.032865,0.157685,-0.986848,1631.065552,1971.176636,3.782347,-0.004869,0.005629,-0.035917,-0.999327,1456.404175,1970.760986,931.940430
21,0.087500,0.000120,0.015261,0.015390,-0.999765,1319.822266,1962.867798,7.146844,0.013237,0.032246,0.157434,-0.986914,1631.171387,1971.268188,3.839329,-0.004866,0.005616,-0.035934,-0.999327,1456.239258,1970.644409,931.997253
22,0.091667,0.000201,0.015231,0.015375,-0.999766,1319.833618,1962.873291,7.150621,0.012959,0.032015,0.157148,-0.986971,1631.223022,1971.369263,3.828864,-0.004895,0.005522,-0.035976,-0.999325,1456.066040,1970.508423,932.051819
23,0.095833,0.000217,0.015244,0.015360,-0.999766,1319.834717,1962.873413,7.149911,0.012535,0.031664,0.156940,-0.987021,1631.252563,1971.453125,3.842152,-0.004948,0.005497,-0.035955,-0.999326,1455.867920,1970.414795,932.088745
24,0.100000,0.000233,0.015059,0.015363,-0.999769,1319.850342,1962.884399,7.178158,0.012723,0.031338,0.156682,-0.987070,1631.271240,1971.497314,3.776684,-0.004911,0.005519,-0.035870,-0.999329,1455.662354,1970.247681,932.147156
25,0.104167,0.000303,0.015143,0.015370,-0.999767,1319.850098,1962.886719,7.190727,0.012845,0.031026,0.156452,-0.987115,1631.275269,1971.536011,3.749826,-0.004877,0.005420,-0.035931,-0.999328,1455.473511,1970.130859,932.172913
26,0.108333,0.000260,0.015196,0.015446,-0.999765,1319.848389,1962.889771,7.195857,0.013118,0.030771,0.156408,-0.987126,1631.304810,1971.560425,3.710682,-0.004781,0.005376,-0.035909,-0.999329,1455.294922,1970.015869,932.179443
