Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.009866,-0.012673,-0.367405,0.929922,-1099.032471,-579.602173,46.307499,-0.016416,-0.011378,-0.439970,0.897790,-881.678894,-779.734741,43.384243,0.015325,-0.000224,0.329108,-0.944168,-971.661743,-682.206177,969.268921
1,0.004167,-0.009936,-0.012621,-0.367364,0.929939,-1099.047363,-579.590027,46.315147,-0.016377,-0.011345,-0.439949,0.897802,-881.675842,-779.748657,43.386593,0.015273,-0.000158,0.329069,-0.944182,-971.398560,-682.220215,969.217896
2,0.008333,-0.010013,-0.012637,-0.367369,0.929936,-1099.049316,-579.578003,46.323067,-0.016282,-0.011287,-0.439959,0.897799,-881.672974,-779.753357,43.381290,0.015222,-0.000086,0.329051,-0.944189,-971.125183,-682.246948,969.172363
3,0.012500,-0.010009,-0.012653,-0.367361,0.929938,-1099.065063,-579.567444,46.327663,-0.016200,-0.011166,-0.439952,0.897806,-881.674744,-779.756958,43.378799,0.015108,-0.000119,0.329016,-0.944203,-970.897705,-682.299622,969.120300
4,0.016667,-0.008335,-0.014402,-0.366844,0.930134,-1099.106079,-579.832031,46.167545,-0.016232,-0.011219,-0.439950,0.897806,-881.679504,-779.767700,43.371834,0.015020,-0.000163,0.328968,-0.944222,-970.633179,-682.324707,969.079651
5,0.020833,-0.007746,-0.015854,-0.366845,0.930115,-1099.157837,-579.851318,46.104706,-0.016124,-0.011165,-0.439983,0.897792,-881.674500,-779.762268,43.379147,0.015102,-0.000255,0.328864,-0.944257,-970.355957,-682.324341,969.057434
6,0.025000,-0.007371,-0.016505,-0.366634,0.930190,-1099.230957,-579.867554,46.084908,-0.016202,-0.011218,-0.439927,0.897817,-881.678711,-779.770569,43.373093,0.015224,-0.000322,0.328746,-0.944295,-970.076111,-682.335571,969.038757
7,0.029167,-0.007781,-0.015300,-0.366908,0.930099,-1099.118286,-579.849121,46.107822,-0.016174,-0.011219,-0.439957,0.897803,-881.680054,-779.769470,43.371078,0.015325,-0.000393,0.328692,-0.944313,-969.805481,-682.346313,969.014099
8,0.033333,-0.007602,-0.015357,-0.366904,0.930101,-1099.125122,-579.844299,46.092831,-0.016071,-0.011107,-0.439987,0.897792,-881.685852,-779.759033,43.368141,0.015469,-0.000427,0.328647,-0.944326,-969.547974,-682.364441,968.984131
9,0.037500,-0.007565,-0.015311,-0.366932,0.930091,-1099.130371,-579.845154,46.074821,-0.016151,-0.011275,-0.439988,0.897787,-881.691650,-779.753174,43.361008,0.015668,-0.000320,0.328603,-0.944338,-969.288696,-682.384949,968.945618
10,0.041667,-0.007578,-0.014325,-0.366705,0.930196,-1099.077881,-579.841980,46.081577,-0.016160,-0.011326,-0.440032,0.897765,-881.693848,-779.741333,43.363884,0.015850,-0.000308,0.328496,-0.944372,-969.027527,-682.405640,968.921875
11,0.045833,-0.007513,-0.015169,-0.366899,0.930107,-1099.117798,-579.831726,46.080772,-0.016186,-0.011423,-0.440037,0.897761,-881.698364,-779.735291,43.354931,0.016075,-0.000235,0.328388,-0.944406,-968.784546,-682.407349,968.882996
