Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.011644,-0.020918,0.861981,0.506375,-0.955661,1.053468,0.038323,-0.020414,-0.03801,0.818398,0.57303,-0.702098,1.202974,0.045571,0.015694,0.026576,-0.881306,-0.471537,-0.87427,1.122072,0.958687,walk
1,0.004167,-0.011633,-0.021011,0.861966,0.506397,-0.955651,1.053467,0.038318,-0.020431,-0.037986,0.818399,0.57303,-0.702099,1.202973,0.045577,0.015616,0.02656,-0.881265,-0.471617,-0.874279,1.121965,0.958707,walk
2,0.008333,-0.011617,-0.020923,0.861975,0.506386,-0.955658,1.053463,0.038319,-0.020386,-0.037961,0.818403,0.573027,-0.702099,1.202981,0.045575,0.015526,0.0266,-0.88121,-0.47172,-0.87429,1.121872,0.95871,walk
3,0.0125,-0.011624,-0.021026,0.861962,0.506404,-0.95566,1.053464,0.038326,-0.02051,-0.038089,0.818377,0.573051,-0.702104,1.202974,0.045574,0.015508,0.026615,-0.881126,-0.471877,-0.874295,1.121743,0.958746,walk
4,0.016667,-0.011564,-0.020985,0.861983,0.506371,-0.95566,1.053463,0.03832,-0.020439,-0.038029,0.818379,0.573054,-0.702102,1.202979,0.04558,0.015448,0.02668,-0.881068,-0.471984,-0.8743,1.121642,0.958753,walk
5,0.020833,-0.011566,-0.021025,0.861974,0.506385,-0.955665,1.053454,0.03832,-0.020502,-0.038083,0.818362,0.573073,-0.702105,1.202987,0.045576,0.01543,0.026651,-0.881011,-0.472093,-0.874302,1.121535,0.958776,walk
6,0.025,-0.011536,-0.021065,0.861992,0.506353,-0.955672,1.053446,0.03832,-0.020451,-0.038029,0.818367,0.573071,-0.702106,1.202983,0.045586,0.01543,0.02666,-0.880942,-0.47222,-0.874304,1.121435,0.958788,walk
7,0.029167,-0.011556,-0.021279,0.861978,0.506366,-0.955658,1.053449,0.038323,-0.020436,-0.037985,0.818375,0.573064,-0.702107,1.202977,0.045581,0.015409,0.026677,-0.880904,-0.472292,-0.874303,1.121344,0.958793,walk
8,0.033333,-0.011482,-0.021257,0.861972,0.506379,-0.95567,1.053441,0.038317,-0.020383,-0.037941,0.818369,0.573077,-0.7021,1.202982,0.045581,0.015434,0.026664,-0.880848,-0.472396,-0.874298,1.121248,0.958808,walk
9,0.0375,-0.011461,-0.021238,0.862001,0.506332,-0.955673,1.053431,0.038319,-0.02047,-0.037978,0.818354,0.573093,-0.702105,1.202982,0.045579,0.015414,0.026743,-0.8808,-0.472481,-0.874297,1.121167,0.958801,walk
