Format Version,1.25,Take Name,Face_Forward_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-08-27 07.40.07.595 PM,Capture Start Frame,689614,Total Frames in Take,990,Total Exported Frames,990,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,LFoot,LFoot,LFoot,LFoot,LFoot,LFoot,LFoot,RFoot,RFoot,RFoot,RFoot,RFoot,RFoot,RFoot,Waist,Waist,Waist,Waist,Waist,Waist,Waist
,ID,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6
,Parent,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.000947,-0.013928,0.003542,0.999896,1081.794800,604.934265,8.873114,-0.006209,-0.027172,-0.106978,0.993871,1416.065308,602.717102,5.201939,-0.005957,0.009101,0.002165,-0.999938,1248.816650,606.849792,927.639832
1,0.004167,0.000950,-0.013870,0.003523,0.999897,1081.791870,604.925781,8.874576,-0.006220,-0.027182,-0.106991,0.993869,1416.063110,602.714355,5.204427,-0.005975,0.009087,0.002132,-0.999939,1248.822876,606.843994,927.627136
2,0.008333,0.000908,-0.013891,0.003557,0.999897,1081.791992,604.925598,8.878833,-0.006246,-0.027213,-0.106962,0.993871,1416.063599,602.714600,5.209115,-0.005984,0.009096,0.002125,-0.999938,1248.824219,606.833130,927.642639
3,0.012500,0.000943,-0.013931,0.003552,0.999896,1081.792847,604.930664,8.870617,-0.006214,-0.027202,-0.106995,0.993868,1416.062744,602.712646,5.202148,-0.006022,0.009134,0.002084,-0.999938,1248.827881,606.820312,927.633606
4,0.016667,0.000958,-0.013869,0.003550,0.999897,1081.797485,604.930115,8.874527,-0.006249,-0.027170,-0.106973,0.993871,1416.059570,602.711609,5.200314,-0.006045,0.009128,0.002046,-0.999938,1248.833862,606.812439,927.643433
