Format Version,1.25,Take Name,Jog_Forward_016,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-08-27 08.41.44.261 PM,Capture Start Frame,1576806,Total Frames in Take,1022,Total Exported Frames,1022,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,LFoot,LFoot,LFoot,LFoot,LFoot,LFoot,LFoot,RFoot,RFoot,RFoot,RFoot,RFoot,RFoot,RFoot,Waist,Waist,Waist,Waist,Waist,Waist,Waist
,ID,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6
,Parent,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.017149,-0.017029,-0.459090,0.888061,-1340.441895,-649.633057,48.656418,0.009219,0.001319,0.674515,-0.738202,-1252.034790,-887.762634,47.744064,0.054463,-0.038924,0.483839,-0.872593,-1284.690308,-791.881226,976.362305
1,0.004167,-0.017196,-0.016905,-0.459083,0.888066,-1340.443848,-649.626526,48.660927,0.009340,0.001650,0.674444,-0.738265,-1252.069092,-887.746765,47.769287,0.055197,-0.039526,0.483700,-0.872597,-1284.519897,-792.009155,976.458557
2,0.008333,-0.017218,-0.016829,-0.459126,0.888045,-1340.438110,-649.627563,48.665249,0.009234,0.001696,0.674503,-0.738213,-1252.058960,-887.758850,47.800373,0.055571,-0.039909,0.483534,-0.872648,-1284.403198,-792.161804,976.518738
3,0.012500,-0.017225,-0.016772,-0.459197,0.888009,-1340.437012,-649.625244,48.661324,0.009291,0.001780,0.674444,-0.738265,-1252.076172,-887.742126,47.798996,0.055558,-0.039942,0.483355,-0.872746,-1284.279907,-792.343140,976.474792
4,0.016667,-0.017260,-0.016878,-0.459079,0.888067,-1340.452881,-649.642151,48.657860,0.009152,0.001686,0.674497,-0.738219,-1252.058960,-887.763184,47.804432,0.054991,-0.039467,0.483224,-0.872876,-1284.198975,-792.494080,976.368347
