Format Version,1.25,Take Name,Jump_forward_005,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-08-27 08.55.07.596 PM,Capture Start Frame,1769605,Total Frames in Take,665,Total Exported Frames,665,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,LFoot,LFoot,LFoot,LFoot,LFoot,LFoot,LFoot,RFoot,RFoot,RFoot,RFoot,RFoot,RFoot,RFoot,Waist,Waist,Waist,Waist,Waist,Waist,Waist
,ID,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,F166F33A839B11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,BBD91479839C11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6,84966C9E839D11F034C857AE43D8E3B6
,Parent,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.016397,-0.023201,-0.510752,0.859259,-586.328796,-433.329163,35.273685,0.005378,0.001696,0.624783,-0.780778,-444.880768,-690.907227,34.594357,0.020884,0.003873,0.504152,-0.863354,-546.837036,-558.874390,956.024902
1,0.004167,-0.016355,-0.023015,-0.510729,0.859278,-586.338013,-433.333466,35.267902,0.005359,0.001696,0.624789,-0.780773,-444.887390,-690.903809,34.585655,0.020941,0.003814,0.503976,-0.863455,-546.775024,-558.864868,956.028259
2,0.008333,-0.016323,-0.023035,-0.510718,0.859285,-586.333374,-433.334045,35.260754,0.005383,0.001764,0.624776,-0.780783,-444.899780,-690.894958,34.586224,0.021003,0.003777,0.503796,-0.863559,-546.712341,-558.864014,956.040710
3,0.012500,-0.016340,-0.022925,-0.510740,0.859274,-586.324951,-433.338470,35.258751,0.005404,0.001762,0.624763,-0.780793,-444.891083,-690.898926,34.579079,0.020964,0.003643,0.503622,-0.863662,-546.639282,-558.871216,956.056824
4,0.016667,-0.016328,-0.022878,-0.510705,0.859296,-586.334839,-433.343964,35.252285,0.005445,0.001781,0.624750,-0.780804,-444.893433,-690.896851,34.582188,0.021097,0.003494,0.503510,-0.863724,-546.552551,-558.891785,956.041199
