frame_id,timestamp,gait_type,root_position_x,root_position_y,root_position_z,root_orientation_x,root_orientation_y,root_orientation_z,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,left_swing_phase,right_swing_phase,max_foot_height
1,0.004167,walk,-1.108078,-1.148546,1.037964,-0.167189,-0.147933,-0.031965,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007199424046016907,0.005999520038409589,0.0021598272138228687,0.0023998080153212068,-0.0019198464122889372,0.0023998080153586738,-0.2928440000000001,0.16140700000000008,-1.039446,-0.17723600000000017,-0.14741399999999993,-1.043265,0.11560799999999993,0.308821,0.003819000000000017,0.9511150620293223,0.9935012891731945,0.9511150620293223,0.04888493797067772,0.006498710826805532,-1.039446
2,0.008333,walk,-1.108078,-1.148546,1.037964,-0.167189,-0.147933,-0.031965,0.0,0.0,0.0,0.0,0.0,0.0,0.0009601536245542433,0.008161305808924265,0.00192030724915986,0.006961113778218136,-0.0007201152184290073,-0.001680268843014897,-0.2928400000000002,0.16144100000000006,-1.039438,-0.17720700000000011,-0.1474169999999999,-1.0432720000000002,0.1156330000000001,0.30885799999999997,0.003834000000000115,0.947595032940286,0.9880047492794117,0.947595032940286,0.05240496705971398,0.011995250720588269,-1.039438
3,0.0125,walk,-1.108078,-1.148546,1.037964,-0.167189,-0.147933,-0.031965,0.0,0.0,0.0,0.0,0.0,0.0,0.0011999040076872464,0.005999520038409588,0.002639788816894634,0.008399328053757437,-0.00023998080151613468,0.0011999040076793367,-0.2928350000000002,0.1614660000000001,-1.039427,-0.1771720000000001,-0.14741799999999983,-1.0432670000000002,0.11566300000000007,0.30888399999999994,0.0038400000000000656,0.9504941337677454,0.9858533403857053,0.9504941337677454,0.049505866232254614,0.014146659614294732,-1.039427
4,0.016667,walk,-1.108078,-1.148546,1.037964,-0.167189,-0.147933,-0.031965,0.0,0.0,0.0,0.0,0.0,0.0,0.0023998080153744927,0.003359731221492318,0.003119750419966452,0.0023998080153744927,0.0011999040076339598,0.0016798656107511545,-0.2928250000000001,0.16148000000000007,-1.039414,-0.17716200000000004,-0.14741300000000002,-1.04326,0.11566300000000007,0.3088930000000001,0.003846000000000016,0.9529151465271373,0.9947240596919242,0.9529151465271373,0.04708485347286273,0.005275940308075766,-1.039414
5,0.020833,walk,-1.108078,-1.148546,1.037964,-0.167189,-0.147933,-0.031965,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024003840612523607,0.002160345655313672,-0.0021603456553048756,0.003120499279894565,-0.0016802688429832509,-0.0028804608737397646,-0.29282600000000003,0.1614890000000001,-1.0394230000000002,-0.177149,-0.14741999999999988,-1.0432720000000002,0.11567700000000003,0.308909,0.0038489999999999913,0.9564023246380128,0.9923882630859259,0.9564023246380128,0.04359767536198722,0.00761173691407413,-1.0394230000000002
6,0.025,walk,-1.108078,-1.148546,1.037964,-0.167189,-0.147933,-0.031965,0.0,0.0,0.0,0.0,0.0,0.0,0.0026397888168906273,0.0021598272138050713,0.004319654427645789,-0.0014398848092566675,-0.0007199424046016905,0.0004799616030718179,-0.29281500000000005,0.16149800000000003,-1.0394050000000001,-0.17715500000000017,-0.14742299999999986,-1.0432700000000001,0.11565999999999987,0.3089209999999999,0.0038650000000000073,0.9521768578984392,0.9972002239820266,0.9521768578984392,0.0478231421015608,0.002799776017973432,-1.0394050000000001
7,0.029167,walk,-1.108078,-1.148546,1.037964,-0.167189,-0.147933,-0.031965,0.0,0.0,0.0,0.0,0.0,0.0,-0.003599712023061742,0.004319654427663433,0.0035997120230381687,0.004799616030748989,-0.003119750419976186,0.0,-0.29283000000000015,0.1615160000000001,-1.03939,-0.17713500000000004,-0.1474359999999999,-1.0432700000000001,0.1156950000000001,0.308952,0.0038800000000001056,0.9500725480015249,0.9904592749044536,0.9500725480015249,0.04992745199847515,0.009540725095546376,-1.03939
8,0.033333,walk,-1.108078,-1.148546,1.037964,-0.167189,-0.147933,-0.031965,0.0,0.0,0.0,0.0,0.0,0.0,-0.005280844935181583,0.004560729716752576,0.00024003840614496283,-0.0031204992798945625,0.0009601536245542427,0.001440230436869881,-0.2928520000000001,0.1615350000000001,-1.0393890000000001,-0.17714800000000008,-0.147432,-1.0432640000000002,0.11570400000000003,0.3089670000000001,0.003875000000000073,0.9496137065352589,0.9940526209204171,0.9496137065352589,0.050386293464741105,0.005947379079582871,-1.0393890000000001
9,0.0375,walk,-1.108078,-1.148546,1.037964,-0.167189,-0.147933,-0.031965,0.0,0.0,0.0,0.0,0.0,0.0,-0.003839692824577877,0.0023998080153478513,0.0009599232061435325,0.0019198464122889385,-0.0026397888168906295,-0.0016798656107511558,-0.29286800000000013,0.16154500000000005,-1.039385,-0.17714000000000008,-0.147443,-1.043271,0.11572800000000005,0.30898800000000004,0.003886000000000056,0.9534256965354869,0.9938816660504077,0.9534256965354869,0.04657430346451308,0.0061183339495922695,-1.039385
10,0.041667,walk,-1.108078,-1.148546,1.037964,-0.167189,-0.147933,-0.031965,0.0,0.0,0.0,0.0,0.0,0.0,-0.00527957763378125,0.007199424046070185,0.001679865610751153,-0.002639788816890625,-0.004319654427610139,0.0021598272138229706,-0.2928900000000001,0.16157500000000002,-1.0393780000000001,-0.17715100000000006,-0.14746099999999984,-1.0432620000000001,0.11573900000000004,0.30903599999999987,0.0038839999999999986,0.9460192166780834,0.9908268578984741,0.9460192166780834,0.05398078332191658,0.009173142101525866,-1.0393780000000001
11,0.045833,walk,-1.108078,-1.148546,1.037964,-0.167189,-0.147933,-0.031965,0.0,0.0,0.0,0.0,0.0,0.0,0.00120019203073278,0.00480076812290447,0.0004800768122899265,-0.00240038406146556,-0.0055208833413601275,0.0016802688430148987,-0.29288500000000006,0.16159500000000004,-1.039376,-0.17716100000000012,-0.14748399999999995,-1.043255,0.11572399999999994,0.309079,0.003878999999999966,0.9529237481288065,0.9895829600205224,0.9529237481288065,0.047076251871193464,0.010417039979477627,-1.039376
