Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,0.010237,0.055012,-0.912867,-0.404405,1.805044,-1.547355,-0.00188,0.44162,0.862548,0.231269,0.08659,1.803629,-1.544975,-0.004329,-0.064186,-0.000687,0.89875,0.433737,1.924457,-1.493425,0.924617,jog
1,0.004167,0.01015,0.055063,-0.91298,-0.404144,1.805005,-1.547358,-0.001861,0.441454,0.862417,0.232066,0.086608,1.803605,-1.54497,-0.004245,-0.064208,-0.000612,0.898781,0.433671,1.924321,-1.493305,0.924595,jog
2,0.008333,0.009918,0.054532,-0.91293,-0.404335,1.805016,-1.547354,-0.001855,0.441417,0.86236,0.232263,0.086834,1.803612,-1.544989,-0.004205,-0.064266,-0.000832,0.898931,0.433349,1.924193,-1.493137,0.924619,jog
3,0.0125,0.010053,0.054943,-0.912989,-0.404142,1.805003,-1.547356,-0.001861,0.441276,0.86228,0.232834,0.08681,1.803599,-1.544971,-0.004139,-0.06428,-0.00076,0.898965,0.433278,1.924075,-1.493004,0.924577,jog
4,0.016667,0.009871,0.054716,-0.912909,-0.404359,1.805027,-1.547326,-0.001855,0.441524,0.862548,0.231458,0.086571,1.803614,-1.544966,-0.004306,-0.06419,-0.000747,0.899016,0.433185,1.923971,-1.492882,0.924564,jog
5,0.020833,0.010292,0.055073,-0.913048,-0.403985,1.805026,-1.547365,-0.001885,0.441416,0.862424,0.23212,0.086584,1.803605,-1.544955,-0.00424,-0.064128,-0.000823,0.899064,0.433095,1.923878,-1.492755,0.924534,jog
6,0.025,0.010369,0.055015,-0.91302,-0.404054,1.80505,-1.547368,-0.001884,0.441473,0.862352,0.232232,0.086714,1.803606,-1.544991,-0.004204,-0.064222,-0.000807,0.899272,0.432649,1.923833,-1.492521,0.92449,jog
7,0.029167,0.010147,0.054989,-0.913043,-0.404012,1.805017,-1.547348,-0.001863,0.441457,0.86248,0.231853,0.086539,1.803615,-1.544957,-0.004278,-0.064139,-0.000678,0.899328,0.432545,1.923745,-1.492413,0.924487,jog
8,0.033333,0.009889,0.054762,-0.913019,-0.404105,1.805,-1.547331,-0.001839,0.441262,0.862454,0.232369,0.086405,1.803607,-1.544945,-0.004211,-0.063988,-0.000658,0.899406,0.432405,1.923643,-1.49229,0.924499,jog
9,0.0375,0.010174,0.05468,-0.913025,-0.404094,1.805039,-1.547361,-0.001884,0.441597,0.862462,0.231671,0.086485,1.803613,-1.544991,-0.004277,-0.063896,-0.000638,0.89946,0.432305,1.923536,-1.492165,0.924483,jog
10,0.041667,0.010188,0.05479,-0.913039,-0.404046,1.80504,-1.54737,-0.001883,0.441525,0.862509,0.231591,0.086601,1.803633,-1.54497,-0.004296,-0.063778,-0.000527,0.899515,0.43221,1.923431,-1.492051,0.924483,jog
11,0.045833,0.010185,0.054809,-0.912997,-0.404139,1.805039,-1.547354,-0.001888,0.441648,0.862535,0.23127,0.086571,1.803632,-1.544987,-0.004346,-0.063748,-0.000631,0.899523,0.432197,1.923251,-1.491943,0.924517,jog
12,0.05,0.010357,0.054971,-0.913059,-0.403973,1.805035,-1.547355,-0.001905,0.441181,0.862111,0.233663,0.086754,1.803581,-1.544992,-0.004051,-0.063539,-0.000863,0.899723,0.431811,1.923054,-1.491709,0.92455,jog
13,0.054167,0.010498,0.055037,-0.913044,-0.403994,1.80506,-1.547394,-0.001929,0.441708,0.862289,0.231936,0.086933,1.803598,-1.545057,-0.004217,-0.063428,-0.001295,0.899935,0.431385,1.922851,-1.491483,0.924604,jog
14,0.058333,0.010593,0.055147,-0.913128,-0.403787,1.805047,-1.547381,-0.001906,0.441084,0.862055,0.234021,0.086832,1.803566,-1.544987,-0.004,-0.063491,-0.000996,0.899775,0.431709,1.922859,-1.491468,0.924525,jog
15,0.0625,0.010519,0.05522,-0.913105,-0.403832,1.805034,-1.547359,-0.001907,0.441393,0.862297,0.232578,0.086735,1.803575,-1.544995,-0.004157,-0.063625,-0.000852,0.899737,0.431769,1.922731,-1.491331,0.924479,jog
16,0.066667,0.010585,0.055152,-0.913128,-0.403787,1.805037,-1.547363,-0.001924,0.441318,0.862234,0.232884,0.086927,1.803584,-1.544989,-0.004099,-0.063575,-0.000919,0.899745,0.431759,1.922639,-1.491188,0.924443,jog
17,0.070833,0.010456,0.055076,-0.913129,-0.403798,1.805026,-1.547377,-0.00193,0.441742,0.862531,0.231024,0.08679,1.803598,-1.545003,-0.004334,-0.063637,-0.00092,0.899931,0.431362,1.922604,-1.490955,0.924416,jog
18,0.075,0.010382,0.054957,-0.913112,-0.403855,1.805043,-1.547367,-0.001924,0.441134,0.862135,0.233673,0.08673,1.803547,-1.544962,-0.00402,-0.063555,-0.000935,0.89997,0.431293,1.92253,-1.490841,0.924414,jog
19,0.079167,0.010622,0.054967,-0.913213,-0.403619,1.805042,-1.54739,-0.00193,0.441406,0.86237,0.232281,0.086742,1.803566,-1.544978,-0.00418,-0.063589,-0.00084,0.900019,0.431187,1.922433,-1.4907,0.924377,jog
20,0.083333,0.010467,0.054926,-0.913183,-0.403695,1.805036,-1.54738,-0.001927,0.441423,0.862368,0.232232,0.086805,1.803568,-1.54497,-0.004192,-0.063616,-0.000804,0.900037,0.431145,1.922355,-1.490577,0.924334,jog
21,0.0875,0.010284,0.055079,-0.913155,-0.403743,1.805023,-1.547366,-0.001921,0.441298,0.862199,0.23305,0.086931,1.803554,-1.544986,-0.004083,-0.06354,-0.000827,0.900075,0.431078,1.922271,-1.490453,0.924329,jog
22,0.091667,0.010499,0.055156,-0.913179,-0.403674,1.805044,-1.547378,-0.001937,0.441307,0.86221,0.233041,0.0868,1.80354,-1.544972,-0.004091,-0.063591,-0.000995,0.900049,0.431122,1.922122,-1.490372,0.924342,jog
23,0.095833,0.010297,0.05497,-0.913154,-0.403759,1.805033,-1.547384,-0.001925,0.441422,0.862454,0.231953,0.086706,1.803567,-1.54496,-0.00421,-0.063587,-0.000923,0.900064,0.431092,1.922069,-1.49026,0.924332,jog
24,0.1,0.010475,0.055089,-0.913203,-0.403628,1.805045,-1.547396,-0.001942,0.441801,0.862622,0.230632,0.086625,1.80359,-1.544991,-0.004367,-0.063757,-0.001172,0.900212,0.430757,1.921963,-1.490093,0.924357,jog
25,0.104167,0.010089,0.054939,-0.913187,-0.403695,1.805007,-1.547358,-0.001904,0.441194,0.862217,0.233234,0.086782,1.803542,-1.544959,-0.004073,-0.063814,-0.001149,0.900204,0.430766,1.921898,-1.489969,0.924334,jog
26,0.108333,0.01047,0.05512,-0.91326,-0.403495,1.805038,-1.5474,-0.001943,0.441485,0.862318,0.232334,0.086714,1.803558,-1.544989,-0.004179,-0.063875,-0.001146,0.900212,0.43074,1.921833,-1.489857,0.92432,jog
27,0.1125,0.010173,0.054684,-0.913136,-0.403842,1.805032,-1.547373,-0.001895,0.441655,0.862441,0.231536,0.086763,1.803577,-1.545002,-0.004265,-0.063918,-0.001177,0.900222,0.430712,1.921782,-1.489731,0.924301,jog
28,0.116667,0.010333,0.054873,-0.913177,-0.40372,1.805026,-1.547396,-0.001926,0.441417,0.86206,0.233342,0.08692,1.803537,-1.54502,-0.004052,-0.064286,-0.000805,0.900318,0.430459,1.921743,-1.489466,0.924283,jog
29,0.120833,0.010382,0.05509,-0.9132,-0.403638,1.805018,-1.547387,-0.001929,0.441579,0.862269,0.232327,0.086746,1.803543,-1.545012,-0.004169,-0.064316,-0.000763,0.900348,0.43039,1.921677,-1.489346,0.924279,jog
30,0.125,0.010316,0.054798,-0.913156,-0.403779,1.805031,-1.547394,-0.001928,0.441428,0.862262,0.23262,0.086795,1.803558,-1.544989,-0.004152,-0.064376,-0.000694,0.900344,0.430391,1.921632,-1.489206,0.924244,jog
31,0.129167,0.010163,0.054777,-0.913097,-0.403918,1.804993,-1.547375,-0.001905,0.441556,0.862473,0.231683,0.086551,1.803568,-1.544967,-0.00428,-0.064332,-0.000591,0.900372,0.430338,1.921562,-1.489094,0.924252,jog
