Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,0.01549,0.000432,0.015377,-0.999762,1.962742,-1.319763,0.007087,0.03367,-0.009258,0.157246,-0.986942,1.97055,-1.630297,0.004678,0.005496,0.003131,-0.036805,-0.999303,1.970849,-1.457773,0.931215,walk
1,0.004167,0.015446,0.000403,0.015422,-0.999762,1.962749,-1.319763,0.007068,0.033451,-0.009261,0.157279,-0.986944,1.970556,-1.630311,0.004656,0.005415,0.003149,-0.036831,-0.999302,1.970849,-1.45775,0.931218,walk
2,0.008333,0.015402,0.000419,0.015417,-0.999762,1.962742,-1.319767,0.007078,0.033394,-0.009348,0.157159,-0.986964,1.970567,-1.630337,0.004643,0.005376,0.003159,-0.036791,-0.999304,1.970844,-1.45771,0.931222,walk
3,0.0125,0.015303,0.000387,0.015411,-0.999764,1.962761,-1.319767,0.007078,0.033159,-0.009404,0.157163,-0.986971,1.970574,-1.630337,0.004607,0.005317,0.003134,-0.036826,-0.999303,1.970828,-1.457676,0.931237,walk
4,0.016667,0.015376,0.000342,0.015401,-0.999763,1.962764,-1.319769,0.007079,0.032991,-0.009405,0.157091,-0.986988,1.970584,-1.630358,0.004616,0.00533,0.003155,-0.036864,-0.999301,1.970823,-1.457588,0.931255,walk
5,0.020833,0.015273,0.00031,0.015423,-0.999764,1.962762,-1.319781,0.007084,0.032963,-0.00933,0.157169,-0.986977,1.970574,-1.630376,0.00461,0.0053,0.00314,-0.036895,-0.9993,1.970793,-1.457532,0.931273,walk
6,0.025,0.015379,0.000334,0.015428,-0.999763,1.962746,-1.31977,0.007094,0.032873,-0.009336,0.157103,-0.986991,1.970587,-1.630391,0.004601,0.005777,0.002447,-0.036075,-0.999329,1.971308,-1.457756,0.931036,walk
7,0.029167,0.01535,0.000314,0.015376,-0.999764,1.962758,-1.319773,0.007112,0.03286,-0.009488,0.157067,-0.986996,1.970573,-1.630412,0.004598,0.005718,0.002515,-0.036026,-0.999331,1.971307,-1.457698,0.931085,walk
8,0.033333,0.015339,0.000288,0.015419,-0.999763,1.962779,-1.319784,0.007109,0.032788,-0.009486,0.157031,-0.987004,1.970585,-1.630423,0.004598,0.005751,0.002589,-0.035966,-0.999333,1.971314,-1.457638,0.931125,walk
9,0.0375,0.015362,0.000308,0.015424,-0.999763,1.962769,-1.319785,0.007118,0.03273,-0.009415,0.157046,-0.987004,1.970593,-1.63045,0.004606,0.005755,0.002789,-0.035917,-0.999334,1.971313,-1.457576,0.931177,walk
